user_id,decision
422066,Avoid (Do Not Disturb)
422668,Low Priority
423042,Low Priority
424553,Avoid (Do Not Disturb)
425632,Avoid (Do Not Disturb)
425653,Low Priority
425953,Low Priority
425966,Avoid (Do Not Disturb)
426478,Avoid (Do Not Disturb)
427426,Avoid (Do Not Disturb)
427506,Give Discount
428056,Avoid (Do Not Disturb)
428552,Avoid (Do Not Disturb)
428858,Give Discount
429345,Avoid (Do Not Disturb)
429375,Low Priority
430722,No Discount (Sure Thing)
431337,Avoid (Do Not Disturb)
431602,Avoid (Do Not Disturb)
431746,Low Priority
431899,Avoid (Do Not Disturb)
431912,Avoid (Do Not Disturb)
432333,Low Priority
432637,Avoid (Do Not Disturb)
432941,Avoid (Do Not Disturb)
433339,Low Priority
433905,Give Discount
434238,Low Priority
434623,Low Priority
435231,Low Priority
435596,Avoid (Do Not Disturb)
435669,Low Priority
435837,Low Priority
435882,No Discount (Sure Thing)
436320,Low Priority
436894,Avoid (Do Not Disturb)
437069,Avoid (Do Not Disturb)
437162,No Discount (Sure Thing)
437549,Avoid (Do Not Disturb)
438189,Low Priority
438406,Avoid (Do Not Disturb)
438839,Low Priority
438985,Low Priority
438995,Avoid (Do Not Disturb)
439052,Avoid (Do Not Disturb)
439120,Low Priority
439363,Low Priority
440212,Avoid (Do Not Disturb)
441200,Low Priority
441205,Low Priority
441448,Avoid (Do Not Disturb)
441457,Avoid (Do Not Disturb)
441982,Avoid (Do Not Disturb)
442484,Low Priority
442718,Low Priority
442812,Avoid (Do Not Disturb)
442819,Avoid (Do Not Disturb)
442833,Avoid (Do Not Disturb)
443305,Give Discount
443598,Low Priority
443652,Low Priority
444387,Low Priority
444885,Low Priority
445351,Low Priority
445515,Low Priority
446124,Low Priority
446473,Low Priority
446933,Low Priority
447053,Low Priority
447737,Avoid (Do Not Disturb)
448025,Low Priority
448154,Avoid (Do Not Disturb)
448295,Low Priority
448467,Avoid (Do Not Disturb)
449033,Low Priority
449326,Avoid (Do Not Disturb)
449619,Low Priority
449804,Avoid (Do Not Disturb)
450164,Avoid (Do Not Disturb)
450193,Low Priority
450305,Low Priority
450615,Low Priority
451291,Avoid (Do Not Disturb)
451674,Low Priority
452034,Avoid (Do Not Disturb)
452532,Low Priority
452594,Low Priority
453143,No Discount (Sure Thing)
453168,Low Priority
454430,Avoid (Do Not Disturb)
454616,Low Priority
454661,Low Priority
454920,Avoid (Do Not Disturb)
454934,Low Priority
456226,Low Priority
456318,Low Priority
456663,Avoid (Do Not Disturb)
456671,Low Priority
457468,Low Priority
457599,Avoid (Do Not Disturb)
458479,No Discount (Sure Thing)
458688,Low Priority
458725,Low Priority
458762,Low Priority
458814,Low Priority
458855,Low Priority
458919,Low Priority
459229,Avoid (Do Not Disturb)
459486,Avoid (Do Not Disturb)
459645,Low Priority
460072,Low Priority
460181,Avoid (Do Not Disturb)
460553,Low Priority
460625,No Discount (Sure Thing)
461559,Avoid (Do Not Disturb)
461744,Low Priority
461791,Avoid (Do Not Disturb)
462127,Low Priority
462456,Low Priority
462894,Low Priority
463652,Low Priority
463783,Low Priority
463867,Low Priority
463910,Avoid (Do Not Disturb)
464080,Low Priority
464239,Low Priority
464542,Low Priority
464597,Avoid (Do Not Disturb)
464614,Low Priority
464673,Low Priority
464782,Avoid (Do Not Disturb)
464855,Low Priority
465138,Low Priority
465343,Low Priority
465531,Low Priority
465568,Low Priority
466205,Low Priority
466342,Low Priority
466723,Low Priority
467339,Low Priority
467809,Low Priority
467892,Low Priority
468106,Avoid (Do Not Disturb)
468666,Low Priority
468832,Low Priority
469237,Low Priority
469418,Low Priority
469464,Avoid (Do Not Disturb)
469699,Low Priority
469767,Low Priority
469824,Avoid (Do Not Disturb)
471186,Low Priority
471500,Low Priority
471565,Low Priority
471649,Low Priority
471687,Low Priority
471935,Low Priority
471946,Avoid (Do Not Disturb)
471973,Low Priority
472394,Avoid (Do Not Disturb)
472713,Avoid (Do Not Disturb)
472785,Avoid (Do Not Disturb)
472966,Avoid (Do Not Disturb)
473343,Low Priority
473402,Low Priority
473467,Avoid (Do Not Disturb)
473568,Low Priority
473712,Avoid (Do Not Disturb)
473847,Low Priority
474007,Low Priority
474120,Low Priority
474239,Low Priority
474278,Avoid (Do Not Disturb)
474384,Low Priority
474546,Low Priority
474951,Avoid (Do Not Disturb)
474980,Low Priority
475060,Low Priority
475130,Low Priority
475467,Low Priority
475531,Low Priority
476081,Avoid (Do Not Disturb)
476104,Low Priority
476124,Low Priority
476173,Low Priority
476270,Low Priority
476393,Low Priority
476436,Avoid (Do Not Disturb)
476535,Low Priority
476665,Avoid (Do Not Disturb)
476714,Avoid (Do Not Disturb)
476916,Low Priority
476956,Avoid (Do Not Disturb)
477285,Avoid (Do Not Disturb)
477316,Low Priority
477805,Low Priority
478003,Low Priority
478146,Give Discount
478188,Low Priority
478228,Low Priority
478291,Low Priority
478533,Low Priority
478760,Give Discount
478801,Avoid (Do Not Disturb)
478834,Low Priority
479071,Avoid (Do Not Disturb)
479101,Low Priority
479254,Avoid (Do Not Disturb)
479524,Give Discount
479785,Low Priority
480186,Give Discount
480313,Low Priority
480331,Avoid (Do Not Disturb)
480690,Low Priority
480796,Low Priority
480877,Avoid (Do Not Disturb)
480975,Low Priority
481245,Low Priority
481292,Low Priority
481554,Avoid (Do Not Disturb)
481772,Low Priority
481781,Low Priority
482264,Low Priority
482424,Low Priority
482548,Avoid (Do Not Disturb)
482602,Low Priority
482630,Low Priority
482744,Avoid (Do Not Disturb)
482811,Low Priority
483224,Avoid (Do Not Disturb)
483480,Low Priority
483483,Low Priority
483525,Low Priority
483603,Low Priority
483928,Low Priority
483982,Low Priority
484249,Avoid (Do Not Disturb)
484418,Avoid (Do Not Disturb)
484987,Avoid (Do Not Disturb)
485149,Low Priority
485260,Low Priority
485393,Low Priority
485505,Avoid (Do Not Disturb)
485518,Low Priority
485536,Low Priority
485544,Avoid (Do Not Disturb)
485591,Low Priority
485658,Low Priority
485780,Avoid (Do Not Disturb)
485785,Low Priority
485891,No Discount (Sure Thing)
485894,Low Priority
486046,Low Priority
486113,Avoid (Do Not Disturb)
486191,Low Priority
486270,Low Priority
486366,Low Priority
486454,Low Priority
486605,Low Priority
486671,Avoid (Do Not Disturb)
486751,Low Priority
486823,Low Priority
487002,Low Priority
487036,Avoid (Do Not Disturb)
487276,Avoid (Do Not Disturb)
487352,Low Priority
487453,Avoid (Do Not Disturb)
487637,Low Priority
487680,Low Priority
487858,Low Priority
487954,Avoid (Do Not Disturb)
488246,Low Priority
488314,Give Discount
488410,Low Priority
488430,Give Discount
488462,Low Priority
488529,Low Priority
488539,Low Priority
488672,Low Priority
488827,Low Priority
488865,Low Priority
488870,No Discount (Sure Thing)
488974,Avoid (Do Not Disturb)
489096,Low Priority
489131,Avoid (Do Not Disturb)
489575,Avoid (Do Not Disturb)
489635,Avoid (Do Not Disturb)
489730,Low Priority
489785,Low Priority
489802,Low Priority
489844,Avoid (Do Not Disturb)
489852,Low Priority
489949,Low Priority
489953,Avoid (Do Not Disturb)
489992,Low Priority
490040,Avoid (Do Not Disturb)
490107,Avoid (Do Not Disturb)
490133,Low Priority
490348,Avoid (Do Not Disturb)
490517,Avoid (Do Not Disturb)
490576,Avoid (Do Not Disturb)
490608,Low Priority
490629,Low Priority
490671,Low Priority
491003,Low Priority
491124,Low Priority
491141,Avoid (Do Not Disturb)
491175,Avoid (Do Not Disturb)
491182,Low Priority
491241,Avoid (Do Not Disturb)
491266,Avoid (Do Not Disturb)
491617,Avoid (Do Not Disturb)
491706,Low Priority
491930,Low Priority
491995,Give Discount
492209,Avoid (Do Not Disturb)
492211,Low Priority
492287,Low Priority
492371,Avoid (Do Not Disturb)
492497,No Discount (Sure Thing)
492614,Low Priority
492999,Low Priority
493177,Avoid (Do Not Disturb)
493476,Low Priority
493718,Low Priority
494294,Avoid (Do Not Disturb)
494382,Avoid (Do Not Disturb)
494441,Low Priority
494484,Low Priority
494590,Low Priority
494630,Low Priority
494680,Low Priority
494704,Avoid (Do Not Disturb)
494985,Low Priority
495029,Low Priority
495042,Avoid (Do Not Disturb)
495080,Low Priority
495272,Low Priority
495273,Low Priority
495386,Low Priority
495482,Avoid (Do Not Disturb)
495592,Low Priority
495603,Low Priority
495727,Low Priority
496016,Avoid (Do Not Disturb)
496074,Low Priority
496273,Avoid (Do Not Disturb)
496286,Avoid (Do Not Disturb)
496332,Low Priority
496382,Low Priority
496408,Low Priority
496566,Avoid (Do Not Disturb)
496972,Low Priority
497042,Low Priority
497077,Low Priority
497108,Low Priority
497225,Avoid (Do Not Disturb)
497475,Avoid (Do Not Disturb)
497615,Low Priority
497678,Low Priority
497680,Avoid (Do Not Disturb)
498154,Avoid (Do Not Disturb)
498199,Low Priority
498287,Low Priority
498298,Low Priority
498357,No Discount (Sure Thing)
498363,Avoid (Do Not Disturb)
498574,Low Priority
498607,Avoid (Do Not Disturb)
498665,Avoid (Do Not Disturb)
498857,Low Priority
499028,Avoid (Do Not Disturb)
499038,Low Priority
499252,Avoid (Do Not Disturb)
499313,Low Priority
499366,Low Priority
499375,Low Priority
499379,Low Priority
499461,Avoid (Do Not Disturb)
499633,Low Priority
499634,Low Priority
499659,Low Priority
499669,Low Priority
499751,Low Priority
499760,Low Priority
499780,Low Priority
499810,Low Priority
499847,Low Priority
499969,Low Priority
499979,Avoid (Do Not Disturb)
499990,Low Priority
500078,Avoid (Do Not Disturb)
500196,Low Priority
500257,Low Priority
500288,Avoid (Do Not Disturb)
500299,Low Priority
500493,Low Priority
500532,Avoid (Do Not Disturb)
500646,Low Priority
500745,Avoid (Do Not Disturb)
500773,Avoid (Do Not Disturb)
500791,Low Priority
500828,Avoid (Do Not Disturb)
500972,Low Priority
500974,No Discount (Sure Thing)
501087,Low Priority
501125,Low Priority
501184,Low Priority
501322,Low Priority
501436,Low Priority
501512,Low Priority
501708,Low Priority
501764,Low Priority
501780,Low Priority
501794,Avoid (Do Not Disturb)
501817,Avoid (Do Not Disturb)
501830,Low Priority
501897,Low Priority
501947,No Discount (Sure Thing)
502063,Low Priority
502145,Avoid (Do Not Disturb)
502210,Avoid (Do Not Disturb)
502212,Low Priority
502353,Avoid (Do Not Disturb)
502412,Avoid (Do Not Disturb)
502435,Low Priority
502444,Low Priority
502609,Low Priority
502626,Low Priority
502799,Low Priority
502819,No Discount (Sure Thing)
502826,Low Priority
502847,Low Priority
502875,Low Priority
502995,Low Priority
503042,Low Priority
503049,Avoid (Do Not Disturb)
503058,Low Priority
503126,Low Priority
503161,Low Priority
503277,Avoid (Do Not Disturb)
503418,Low Priority
503483,Low Priority
503621,Low Priority
503760,Avoid (Do Not Disturb)
503773,Low Priority
503918,Low Priority
503928,Low Priority
503945,Low Priority
503973,Low Priority
504081,Low Priority
504133,Low Priority
504299,Avoid (Do Not Disturb)
504320,Low Priority
504371,Low Priority
504435,Avoid (Do Not Disturb)
504473,Low Priority
504579,Low Priority
504610,Avoid (Do Not Disturb)
504665,Low Priority
504669,Low Priority
504786,Avoid (Do Not Disturb)
504859,Low Priority
504892,Low Priority
504916,Give Discount
504936,Avoid (Do Not Disturb)
504945,Low Priority
505062,Low Priority
505066,Low Priority
505230,Low Priority
505285,Avoid (Do Not Disturb)
505289,Avoid (Do Not Disturb)
505358,Low Priority
505414,Avoid (Do Not Disturb)
505498,Low Priority
505617,Avoid (Do Not Disturb)
505667,Avoid (Do Not Disturb)
505713,Low Priority
505747,Low Priority
505771,Avoid (Do Not Disturb)
505854,Low Priority
505916,Avoid (Do Not Disturb)
505941,Low Priority
506013,Avoid (Do Not Disturb)
506130,Low Priority
506234,Low Priority
506250,Low Priority
506347,Low Priority
506427,Avoid (Do Not Disturb)
506611,Low Priority
506652,Low Priority
506704,Avoid (Do Not Disturb)
506807,Low Priority
506828,Avoid (Do Not Disturb)
506837,Low Priority
506990,Low Priority
507036,Low Priority
507133,Low Priority
507273,Low Priority
507395,Low Priority
507431,Avoid (Do Not Disturb)
507435,Avoid (Do Not Disturb)
507505,Low Priority
507513,Low Priority
507531,Low Priority
507557,Low Priority
507617,Avoid (Do Not Disturb)
507728,Low Priority
507732,Avoid (Do Not Disturb)
507753,Low Priority
507759,Low Priority
507773,Avoid (Do Not Disturb)
507805,Avoid (Do Not Disturb)
508050,Avoid (Do Not Disturb)
508096,Low Priority
508111,Low Priority
508153,Low Priority
508367,Avoid (Do Not Disturb)
508497,Avoid (Do Not Disturb)
508512,Avoid (Do Not Disturb)
508546,Low Priority
508611,Low Priority
508625,Low Priority
508693,Avoid (Do Not Disturb)
508713,Low Priority
508731,Avoid (Do Not Disturb)
508877,Low Priority
508940,Low Priority
508973,Low Priority
509098,Low Priority
509162,Low Priority
509221,Low Priority
509282,Avoid (Do Not Disturb)
509324,Low Priority
509353,Low Priority
509421,Low Priority
509515,Low Priority
509765,Low Priority
509781,Low Priority
509826,Low Priority
509924,Low Priority
509969,Low Priority
510067,Low Priority
510078,Avoid (Do Not Disturb)
510079,Low Priority
510108,Low Priority
510188,Low Priority
510198,Avoid (Do Not Disturb)
510215,Low Priority
510343,No Discount (Sure Thing)
510418,Low Priority
510449,Low Priority
510494,Avoid (Do Not Disturb)
510537,Low Priority
510558,Give Discount
510570,Low Priority
510676,Low Priority
510686,Low Priority
510694,Low Priority
510700,Low Priority
510707,Avoid (Do Not Disturb)
510719,Low Priority
510733,Avoid (Do Not Disturb)
510754,Low Priority
510779,Low Priority
510805,Low Priority
510815,Avoid (Do Not Disturb)
510822,Avoid (Do Not Disturb)
510828,Avoid (Do Not Disturb)
510836,Low Priority
510841,Low Priority
510890,Low Priority
510899,Avoid (Do Not Disturb)
510944,Avoid (Do Not Disturb)
510946,Avoid (Do Not Disturb)
510953,Low Priority
510960,Low Priority
510961,Low Priority
510972,Low Priority
511017,Avoid (Do Not Disturb)
511055,Low Priority
511066,Low Priority
511093,Low Priority
511122,Low Priority
511125,Low Priority
511126,Avoid (Do Not Disturb)
511142,Low Priority
511145,Low Priority
511148,Avoid (Do Not Disturb)
511160,Low Priority
511178,Low Priority
511195,Low Priority
511208,Low Priority
511219,Avoid (Do Not Disturb)
511223,Avoid (Do Not Disturb)
511238,Low Priority
511260,Low Priority
511298,Low Priority
511314,Low Priority
511326,Low Priority
511328,Low Priority
511331,No Discount (Sure Thing)
511364,Avoid (Do Not Disturb)
511377,Avoid (Do Not Disturb)
511379,Avoid (Do Not Disturb)
511397,Avoid (Do Not Disturb)
511398,Avoid (Do Not Disturb)
511418,Low Priority
511424,Low Priority
511433,Low Priority
511440,Avoid (Do Not Disturb)
511455,Low Priority
511469,Low Priority
511489,Low Priority
511502,Low Priority
511504,Low Priority
511535,Avoid (Do Not Disturb)
511542,Low Priority
511552,Low Priority
511554,Avoid (Do Not Disturb)
511560,Avoid (Do Not Disturb)
511567,Avoid (Do Not Disturb)
511568,Low Priority
511570,Avoid (Do Not Disturb)
511577,Avoid (Do Not Disturb)
511578,Low Priority
511587,Low Priority
511589,Low Priority
511608,Low Priority
511609,Low Priority
511613,No Discount (Sure Thing)
511638,Low Priority
511665,Avoid (Do Not Disturb)
511666,Low Priority
511677,Avoid (Do Not Disturb)
511680,Avoid (Do Not Disturb)
511697,Low Priority
511712,Low Priority
511726,Low Priority
511739,Avoid (Do Not Disturb)
511757,Avoid (Do Not Disturb)
511762,Low Priority
511764,Low Priority
511772,Low Priority
511778,Low Priority
511783,Avoid (Do Not Disturb)
511784,Low Priority
511800,No Discount (Sure Thing)
511803,Avoid (Do Not Disturb)
511805,Avoid (Do Not Disturb)
511809,Avoid (Do Not Disturb)
511811,Low Priority
511827,Low Priority
511851,Low Priority
511859,Low Priority
511860,Avoid (Do Not Disturb)
511862,Avoid (Do Not Disturb)
511878,Low Priority
511884,Avoid (Do Not Disturb)
511902,Low Priority
511910,Avoid (Do Not Disturb)
511916,Low Priority
511936,Low Priority
511943,Low Priority
511977,Low Priority
511989,Low Priority
511996,Low Priority
511998,Low Priority
512009,Avoid (Do Not Disturb)
512010,Low Priority
512016,Low Priority
512028,Low Priority
512060,Low Priority
512063,Avoid (Do Not Disturb)
512069,Avoid (Do Not Disturb)
512078,Low Priority
512099,Low Priority
512103,Low Priority
512144,Low Priority
512147,Low Priority
512148,Low Priority
512163,Avoid (Do Not Disturb)
512173,Low Priority
512190,Avoid (Do Not Disturb)
512193,Low Priority
512197,Low Priority
512201,Avoid (Do Not Disturb)
512204,Low Priority
512243,Avoid (Do Not Disturb)
512266,Low Priority
512271,Low Priority
512283,Avoid (Do Not Disturb)
512289,Low Priority
512294,Avoid (Do Not Disturb)
512295,No Discount (Sure Thing)
512301,Low Priority
512302,Low Priority
512303,Low Priority
512305,Avoid (Do Not Disturb)
512322,Avoid (Do Not Disturb)
512329,Avoid (Do Not Disturb)
512362,Low Priority
512377,Low Priority
512392,Avoid (Do Not Disturb)
512397,Low Priority
512402,Low Priority
512416,Low Priority
512418,Low Priority
512419,Avoid (Do Not Disturb)
512440,Avoid (Do Not Disturb)
512443,Low Priority
512447,Low Priority
512463,Low Priority
512529,Low Priority
512536,Low Priority
512552,Low Priority
512556,Avoid (Do Not Disturb)
512558,Low Priority
512587,Low Priority
512589,Low Priority
512596,Low Priority
512598,Avoid (Do Not Disturb)
512610,Low Priority
512623,Avoid (Do Not Disturb)
512628,Low Priority
512631,Low Priority
512655,Low Priority
512677,Low Priority
512680,Avoid (Do Not Disturb)
512691,Low Priority
512693,Avoid (Do Not Disturb)
512695,Low Priority
512696,Low Priority
512704,Low Priority
512780,Avoid (Do Not Disturb)
512786,Low Priority
512787,Low Priority
512791,Low Priority
512801,Avoid (Do Not Disturb)
512826,Avoid (Do Not Disturb)
512831,Avoid (Do Not Disturb)
512835,Avoid (Do Not Disturb)
512846,Avoid (Do Not Disturb)
512848,Low Priority
512880,Avoid (Do Not Disturb)
512887,Low Priority
512888,Low Priority
512900,Low Priority
512904,Avoid (Do Not Disturb)
512922,Avoid (Do Not Disturb)
512928,Give Discount
512943,Low Priority
512945,Give Discount
512974,Low Priority
512976,Low Priority
512984,Avoid (Do Not Disturb)
512999,Low Priority
513004,Low Priority
513005,Avoid (Do Not Disturb)
513006,Avoid (Do Not Disturb)
513026,Avoid (Do Not Disturb)
513030,Avoid (Do Not Disturb)
513031,Avoid (Do Not Disturb)
513058,Low Priority
513089,Avoid (Do Not Disturb)
513090,Low Priority
513091,Low Priority
513093,Avoid (Do Not Disturb)
513096,Low Priority
513103,Low Priority
513126,Avoid (Do Not Disturb)
513138,Low Priority
513164,Low Priority
513206,Low Priority
513216,Avoid (Do Not Disturb)
513221,Low Priority
513233,Avoid (Do Not Disturb)
513236,Avoid (Do Not Disturb)
513237,Avoid (Do Not Disturb)
513241,Low Priority
513242,Low Priority
513259,Low Priority
513261,Low Priority
513289,Low Priority
513296,Low Priority
513317,Low Priority
513322,Low Priority
513338,Avoid (Do Not Disturb)
513339,Avoid (Do Not Disturb)
513345,Give Discount
513347,Low Priority
513366,Avoid (Do Not Disturb)
513381,Low Priority
513387,Low Priority
513397,Low Priority
513402,Avoid (Do Not Disturb)
513408,Low Priority
513422,Avoid (Do Not Disturb)
513425,Low Priority
513438,Low Priority
513441,Low Priority
513470,Low Priority
513495,Low Priority
513497,Low Priority
513543,Give Discount
513546,Avoid (Do Not Disturb)
513555,Avoid (Do Not Disturb)
513569,Low Priority
513582,Avoid (Do Not Disturb)
513602,Avoid (Do Not Disturb)
513611,Avoid (Do Not Disturb)
513613,Low Priority
513620,Give Discount
513625,Low Priority
513627,Avoid (Do Not Disturb)
513628,Avoid (Do Not Disturb)
513638,Avoid (Do Not Disturb)
513659,Low Priority
513661,Low Priority
513683,Low Priority
513714,Avoid (Do Not Disturb)
513721,Low Priority
513742,Low Priority
513761,No Discount (Sure Thing)
513776,Low Priority
513787,Avoid (Do Not Disturb)
513791,Low Priority
513796,Avoid (Do Not Disturb)
513800,Low Priority
513807,Avoid (Do Not Disturb)
513823,Low Priority
513826,Low Priority
513844,Avoid (Do Not Disturb)
513853,Low Priority
513856,Avoid (Do Not Disturb)
513860,Avoid (Do Not Disturb)
513869,Low Priority
513875,Give Discount
513917,Avoid (Do Not Disturb)
513926,Low Priority
513933,Low Priority
513953,Low Priority
513956,Avoid (Do Not Disturb)
513964,Low Priority
513967,Avoid (Do Not Disturb)
513995,Avoid (Do Not Disturb)
514002,Low Priority
514003,Avoid (Do Not Disturb)
514021,Low Priority
514023,Low Priority
514053,Avoid (Do Not Disturb)
514071,Avoid (Do Not Disturb)
514076,Low Priority
514113,Low Priority
514133,Low Priority
514164,Low Priority
514167,Low Priority
514206,Low Priority
514208,Low Priority
514210,Low Priority
514215,Low Priority
514235,Low Priority
514261,Low Priority
514275,Low Priority
514289,Low Priority
514300,Low Priority
514315,Give Discount
514318,Avoid (Do Not Disturb)
514324,Avoid (Do Not Disturb)
514337,Low Priority
514342,No Discount (Sure Thing)
514344,Low Priority
514370,Low Priority
514384,Avoid (Do Not Disturb)
514395,Low Priority
514457,Avoid (Do Not Disturb)
514460,Avoid (Do Not Disturb)
514461,Low Priority
514501,Low Priority
514503,Low Priority
514515,Low Priority
514526,Low Priority
514586,Low Priority
514589,Low Priority
514617,Low Priority
514623,Low Priority
514627,Avoid (Do Not Disturb)
514638,Low Priority
514639,Low Priority
514642,Low Priority
514660,Low Priority
514675,Low Priority
514684,Give Discount
514689,Low Priority
514737,Low Priority
514810,Avoid (Do Not Disturb)
514830,Avoid (Do Not Disturb)
514867,Avoid (Do Not Disturb)
514876,Low Priority
514892,Avoid (Do Not Disturb)
514893,Low Priority
514899,Low Priority
514925,Give Discount
514926,Low Priority
514931,Low Priority
514944,Give Discount
514951,Low Priority
514953,Low Priority
514980,Avoid (Do Not Disturb)
514981,Avoid (Do Not Disturb)
515004,Avoid (Do Not Disturb)
515020,Give Discount
515030,Low Priority
515051,Low Priority
515058,Avoid (Do Not Disturb)
515060,Low Priority
515085,Give Discount
515103,Low Priority
515124,Low Priority
515139,Give Discount
515161,Low Priority
515168,Low Priority
515182,No Discount (Sure Thing)
515198,Avoid (Do Not Disturb)
515200,Avoid (Do Not Disturb)
515202,Low Priority
515205,Low Priority
515229,Low Priority
515240,Low Priority
515243,Avoid (Do Not Disturb)
515258,Low Priority
515271,Low Priority
515274,Low Priority
515306,Avoid (Do Not Disturb)
515330,No Discount (Sure Thing)
515344,Low Priority
515398,Avoid (Do Not Disturb)
515409,Avoid (Do Not Disturb)
515421,Low Priority
515478,Avoid (Do Not Disturb)
515490,Low Priority
515502,Low Priority
515516,Low Priority
515523,Avoid (Do Not Disturb)
515529,Low Priority
515530,Low Priority
515565,Low Priority
515580,Low Priority
515586,Low Priority
515610,Low Priority
515634,Avoid (Do Not Disturb)
515639,Avoid (Do Not Disturb)
515645,Low Priority
515666,Avoid (Do Not Disturb)
515675,Low Priority
515684,Avoid (Do Not Disturb)
515688,Avoid (Do Not Disturb)
515694,Low Priority
515713,Avoid (Do Not Disturb)
515727,Avoid (Do Not Disturb)
515735,Low Priority
515739,Low Priority
515751,Low Priority
515764,Low Priority
515778,Low Priority
515802,Avoid (Do Not Disturb)
515831,Low Priority
515835,Low Priority
515854,Low Priority
515874,Low Priority
515891,No Discount (Sure Thing)
515901,Low Priority
515908,Low Priority
515941,Avoid (Do Not Disturb)
515947,Low Priority
515953,Low Priority
515974,Low Priority
515985,Low Priority
516001,Low Priority
516004,Avoid (Do Not Disturb)
516006,Avoid (Do Not Disturb)
516039,Give Discount
516053,Low Priority
516057,No Discount (Sure Thing)
516061,Low Priority
516076,Low Priority
516086,Low Priority
516089,Low Priority
516092,Avoid (Do Not Disturb)
516105,Low Priority
516117,Low Priority
516118,Low Priority
516132,Low Priority
516144,Avoid (Do Not Disturb)
516150,Low Priority
516152,Low Priority
516176,Low Priority
516177,Avoid (Do Not Disturb)
516178,Low Priority
516211,Avoid (Do Not Disturb)
516216,Low Priority
516243,Low Priority
516246,Avoid (Do Not Disturb)
516251,Avoid (Do Not Disturb)
516269,Low Priority
516273,Low Priority
516282,Avoid (Do Not Disturb)
516283,Low Priority
