session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,user_id
2.25,28,0,0,0,0,0.65,0.66,-0.02,Sure Thing,527690
1.12,46,1,0,0,0,0.08,0.03,0.05,Sure Thing,528580
0.63,45,0,1,0,0,0.01,0.01,0.0,Sure Thing,530240
0.77,34,0,1,0,0,0.01,0.0,0.01,Sure Thing,530298
0.13,58,1,1,0,0,0.01,0.0,0.01,Sure Thing,530673
1.9,41,0,1,1,0,0.34,0.2,0.14,Persuadable,532835
1.45,49,0,0,0,0,0.19,0.11,0.08,Persuadable,533117
1.37,68,1,0,0,0,0.14,0.13,0.01,Sure Thing,533187
0.27,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,533490
3.7,35,0,0,1,0,0.71,0.69,0.01,Sure Thing,534747
0.87,36,0,0,0,0,0.01,0.01,0.0,Sure Thing,535063
1.03,27,0,0,0,0,0.02,0.01,0.01,Sure Thing,535459
4.1,50,0,0,0,0,0.67,0.68,-0.01,Sure Thing,536604
1.47,49,1,1,0,0,0.21,0.12,0.09,Persuadable,537038
1.47,48,0,1,0,0,0.24,0.11,0.12,Persuadable,538131
2.4,35,0,1,1,0,0.68,0.69,-0.0,Sure Thing,538350
0.88,21,0,1,0,0,0.01,0.0,0.0,Sure Thing,538463
0.62,50,1,0,0,0,0.01,0.01,0.01,Sure Thing,538944
2.88,62,1,1,1,0,0.47,0.54,-0.07,Do Not Disturb,540029
3.25,38,1,0,1,0,0.69,0.71,-0.02,Do Not Disturb,540656
1.07,46,1,0,0,0,0.12,0.03,0.09,Persuadable,542065
1.93,34,1,1,1,0,0.29,0.32,-0.03,Do Not Disturb,542918
2.23,62,1,0,0,0,0.54,0.53,0.01,Sure Thing,543237
1.23,50,1,0,0,1,0.1,0.12,-0.02,Sure Thing,543497
1.73,48,1,0,0,0,0.24,0.12,0.11,Persuadable,544254
0.6,28,0,0,0,0,0.01,0.0,0.01,Sure Thing,544818
1.0,37,0,1,0,0,0.01,0.01,-0.0,Sure Thing,544926
0.95,51,0,0,0,1,0.01,0.01,0.0,Sure Thing,545399
0.78,66,0,0,0,0,0.01,0.0,0.01,Sure Thing,546937
4.83,42,1,1,1,1,0.65,0.61,0.05,Sure Thing,547150
1.12,25,0,1,0,0,0.07,0.03,0.04,Sure Thing,547938
0.42,33,1,0,0,0,0.01,0.0,0.01,Sure Thing,548190
6.33,40,0,0,1,0,0.69,0.67,0.02,Sure Thing,548672
2.08,47,1,0,1,0,0.61,0.54,0.07,Persuadable,548988
2.08,42,1,1,1,0,0.57,0.53,0.03,Sure Thing,550200
0.37,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,551088
1.0,34,0,0,0,0,0.01,0.01,0.0,Sure Thing,551488
2.83,25,0,0,1,0,0.61,0.61,0.01,Sure Thing,552649
0.27,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,552929
1.45,16,0,1,0,0,0.28,0.11,0.17,Persuadable,553743
1.23,26,0,0,0,0,0.12,0.12,-0.0,Sure Thing,555250
0.65,42,0,0,0,0,0.01,0.01,0.0,Sure Thing,556824
1.67,74,0,0,0,0,0.34,0.11,0.23,Persuadable,557799
1.78,46,1,0,0,0,0.25,0.12,0.13,Persuadable,557957
0.27,48,1,1,0,1,0.02,0.0,0.01,Sure Thing,558251
1.88,35,0,0,0,0,0.21,0.17,0.04,Sure Thing,559464
0.38,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,560125
4.68,41,0,0,1,0,0.68,0.67,0.01,Sure Thing,560367
0.73,43,1,0,0,0,0.01,0.01,0.01,Sure Thing,560803
2.72,40,1,1,0,0,0.67,0.68,-0.01,Sure Thing,561707
2.2,38,0,0,1,0,0.63,0.7,-0.07,Do Not Disturb,562398
3.4,39,0,1,0,0,0.69,0.68,0.01,Sure Thing,563059
1.5,40,0,0,0,0,0.22,0.11,0.1,Persuadable,563787
3.37,37,1,0,1,0,0.69,0.69,-0.01,Sure Thing,564100
0.65,30,0,1,0,0,0.01,0.0,0.01,Sure Thing,565764
0.53,42,1,0,0,0,0.01,0.01,0.01,Sure Thing,566338
0.5,41,1,0,0,0,0.01,0.01,0.01,Sure Thing,566815
2.12,16,0,0,0,1,0.34,0.32,0.02,Sure Thing,567458
1.5,43,0,0,0,0,0.22,0.11,0.11,Persuadable,569239
1.53,30,0,0,1,1,0.2,0.12,0.08,Persuadable,571561
3.37,39,0,1,1,0,0.69,0.68,0.01,Sure Thing,571637
2.62,27,0,0,0,0,0.65,0.68,-0.03,Do Not Disturb,571757
2.58,43,1,1,1,0,0.68,0.68,-0.0,Sure Thing,573378
0.13,44,1,0,0,1,0.01,0.01,0.0,Sure Thing,575561
0.6,50,1,1,0,0,0.02,0.0,0.01,Sure Thing,576103
1.18,42,0,1,0,1,0.11,0.07,0.05,Sure Thing,577287
1.62,24,1,0,0,1,0.21,0.13,0.08,Persuadable,577534
3.77,45,0,1,0,1,0.7,0.66,0.03,Sure Thing,577984
2.98,30,0,0,0,0,0.69,0.68,0.02,Sure Thing,581091
0.5,54,1,1,0,0,0.01,0.0,0.01,Sure Thing,581770
2.63,53,1,1,1,0,0.68,0.68,-0.0,Sure Thing,583297
1.42,47,1,0,0,0,0.19,0.12,0.07,Persuadable,586192
26.43,16,0,0,1,0,0.85,0.6,0.25,Persuadable,586721
1.0,70,1,0,0,0,0.01,0.0,0.01,Sure Thing,587601
0.38,72,1,0,0,0,0.01,0.01,0.0,Sure Thing,587753
3.5,39,0,1,1,0,0.69,0.68,0.02,Sure Thing,589306
7.48,46,1,0,0,0,0.67,0.66,0.01,Sure Thing,589758
1.72,40,0,1,0,0,0.22,0.13,0.09,Persuadable,590163
0.62,43,0,1,0,1,0.01,0.01,0.0,Sure Thing,591097
0.68,21,0,0,0,0,0.01,0.0,0.0,Sure Thing,593833
2.07,50,1,0,0,0,0.61,0.53,0.08,Persuadable,594644
4.02,53,1,0,0,1,0.65,0.68,-0.02,Do Not Disturb,595283
1.0,51,1,0,0,1,0.02,0.01,0.0,Sure Thing,596153
0.77,45,1,1,0,0,0.02,0.0,0.01,Sure Thing,596732
2.2,53,1,0,0,0,0.62,0.69,-0.07,Do Not Disturb,597946
4.55,67,1,0,0,0,0.3,0.3,0.0,Sure Thing,598526
2.62,28,1,1,1,0,0.66,0.65,0.01,Sure Thing,598715
0.37,27,0,0,0,0,0.01,0.0,0.01,Sure Thing,599909
0.28,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,600690
0.5,40,0,0,0,0,0.01,0.01,0.0,Sure Thing,603875
0.13,18,0,0,0,0,0.01,0.0,0.01,Sure Thing,604592
1.47,52,1,1,0,0,0.23,0.12,0.11,Persuadable,605780
1.28,54,0,1,0,0,0.23,0.11,0.12,Persuadable,606041
2.67,42,0,0,1,0,0.71,0.72,-0.01,Sure Thing,606333
3.3,35,1,1,1,0,0.66,0.68,-0.02,Sure Thing,607280
1.5,39,1,1,0,0,0.25,0.13,0.13,Persuadable,608820
1.4,37,0,0,0,0,0.16,0.11,0.05,Sure Thing,613383
1.15,63,1,0,0,0,0.08,0.04,0.04,Sure Thing,617743
3.45,39,1,1,0,0,0.67,0.67,-0.01,Sure Thing,618392
4.67,27,0,1,1,0,0.64,0.58,0.05,Persuadable,618535
1.48,21,0,0,1,0,0.28,0.12,0.15,Persuadable,620991
2.62,16,0,0,1,1,0.47,0.33,0.14,Persuadable,625398
2.57,44,0,1,1,0,0.7,0.69,0.01,Sure Thing,625400
0.58,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,626520
0.6,55,0,0,0,0,0.01,0.01,0.0,Sure Thing,626645
0.38,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,627889
0.9,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,627893
0.37,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,627972
0.65,43,0,1,0,0,0.01,0.01,0.0,Sure Thing,628570
0.65,40,1,0,0,0,0.01,0.01,0.01,Sure Thing,628653
0.23,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,628694
8.27,44,0,1,1,0,0.67,0.62,0.05,Sure Thing,628752
0.83,16,0,1,0,0,0.01,0.0,0.01,Sure Thing,628762
3.0,32,0,0,1,0,0.7,0.68,0.02,Sure Thing,629647
2.67,30,0,0,1,0,0.7,0.68,0.02,Sure Thing,629701
0.7,18,0,0,0,0,0.01,0.0,0.01,Sure Thing,629812
0.73,45,1,1,0,1,0.02,0.0,0.01,Sure Thing,298253
11.57,41,0,0,0,0,0.72,0.69,0.03,Sure Thing,374331
2.4,42,1,1,0,0,0.66,0.68,-0.02,Sure Thing,399218
0.13,38,1,1,0,0,0.02,0.0,0.01,Sure Thing,440212
0.9,43,1,1,0,0,0.02,0.0,0.01,Sure Thing,471946
1.2,48,1,0,0,1,0.09,0.11,-0.02,Do Not Disturb,478801
0.62,26,0,0,0,0,0.01,0.01,0.01,Sure Thing,485505
2.27,46,0,1,1,0,0.66,0.69,-0.03,Do Not Disturb,489949
0.77,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,499313
0.52,30,1,1,0,0,0.01,0.0,0.01,Sure Thing,499669
0.97,34,0,0,0,0,0.01,0.01,0.0,Sure Thing,508973
1.38,41,0,0,0,0,0.17,0.11,0.06,Persuadable,511613
2.75,45,0,1,1,0,0.7,0.69,0.01,Sure Thing,511665
1.83,27,0,0,0,0,0.2,0.12,0.08,Persuadable,511772
4.05,51,1,0,1,0,0.66,0.68,-0.01,Sure Thing,512201
5.47,42,0,0,1,0,0.69,0.67,0.02,Sure Thing,512655
1.43,41,0,0,0,0,0.18,0.11,0.08,Persuadable,513826
2.82,51,1,0,1,0,0.7,0.71,-0.01,Sure Thing,515778
1.1,46,0,1,0,0,0.04,0.03,0.01,Sure Thing,516117
3.83,39,0,0,0,0,0.7,0.69,0.01,Sure Thing,516296
2.83,47,1,0,1,0,0.7,0.71,-0.01,Sure Thing,516561
3.8,52,0,1,1,0,0.7,0.66,0.04,Sure Thing,516616
3.67,48,1,0,1,1,0.7,0.69,0.01,Sure Thing,517847
0.87,21,1,0,0,0,0.01,0.0,0.0,Sure Thing,518645
1.23,53,1,0,0,0,0.09,0.12,-0.03,Do Not Disturb,518866
0.25,41,1,1,0,0,0.02,0.0,0.01,Sure Thing,520265
3.25,40,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,520733
1.3,34,0,0,0,0,0.15,0.12,0.03,Sure Thing,521259
2.38,41,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,523690
2.78,55,1,0,0,0,0.68,0.7,-0.02,Do Not Disturb,523768
3.07,51,0,0,1,0,0.71,0.72,-0.01,Sure Thing,523981
0.37,31,0,0,0,0,0.01,0.0,0.01,Sure Thing,524606
0.75,25,0,0,0,0,0.01,0.0,0.01,Sure Thing,525377
2.55,35,0,0,1,1,0.71,0.72,-0.01,Sure Thing,525389
2.67,47,0,1,1,0,0.7,0.69,0.01,Sure Thing,525804
2.33,39,0,0,0,0,0.69,0.72,-0.03,Do Not Disturb,526084
0.38,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,526235
3.65,55,1,0,0,0,0.68,0.69,-0.01,Sure Thing,526258
2.62,27,0,0,1,1,0.65,0.68,-0.03,Do Not Disturb,526365
0.88,46,0,1,0,0,0.01,0.01,0.0,Sure Thing,526372
2.17,56,1,0,0,0,0.58,0.56,0.02,Sure Thing,526916
1.38,50,1,1,0,0,0.18,0.12,0.05,Persuadable,527995
0.5,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,528193
0.73,35,1,1,0,0,0.01,0.0,0.01,Sure Thing,528690
0.38,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,529205
1.08,45,0,1,0,0,0.06,0.02,0.04,Sure Thing,530277
1.1,32,0,1,0,0,0.05,0.04,0.02,Sure Thing,530869
1.03,31,0,0,0,0,0.02,0.01,0.01,Sure Thing,531073
0.85,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,531158
4.3,46,0,0,1,0,0.68,0.68,0.01,Sure Thing,531654
2.0,54,1,0,1,1,0.46,0.52,-0.06,Do Not Disturb,531670
2.15,27,0,0,0,0,0.55,0.58,-0.03,Do Not Disturb,531926
2.22,57,1,1,1,0,0.5,0.52,-0.02,Sure Thing,531971
1.1,31,0,0,0,0,0.06,0.04,0.02,Sure Thing,532656
0.48,21,0,0,0,1,0.01,0.0,0.0,Sure Thing,533204
0.7,58,1,1,0,1,0.01,0.0,0.01,Sure Thing,533327
3.05,34,0,0,1,0,0.7,0.69,0.01,Sure Thing,533411
1.37,32,1,1,0,0,0.24,0.12,0.12,Persuadable,533550
0.23,41,1,0,0,0,0.01,0.01,0.01,Sure Thing,534045
1.47,37,1,1,0,0,0.25,0.13,0.12,Persuadable,534190
3.25,50,0,1,0,0,0.7,0.69,0.01,Sure Thing,535035
0.4,54,1,1,0,0,0.01,0.0,0.01,Sure Thing,536034
2.2,52,1,0,1,0,0.63,0.69,-0.06,Do Not Disturb,536764
0.38,45,0,1,0,1,0.01,0.01,0.0,Sure Thing,537586
0.77,33,0,0,0,0,0.01,0.0,0.01,Sure Thing,539729
3.53,23,0,0,0,1,0.45,0.31,0.15,Persuadable,539888
1.55,24,0,0,0,0,0.2,0.12,0.08,Persuadable,541216
0.5,38,1,1,0,0,0.02,0.0,0.01,Sure Thing,541382
0.73,42,1,1,0,0,0.02,0.0,0.01,Sure Thing,542976
0.6,34,0,1,0,0,0.01,0.0,0.01,Sure Thing,543713
2.0,55,1,1,1,0,0.39,0.46,-0.07,Do Not Disturb,544271
1.12,16,0,0,0,0,0.05,0.06,-0.01,Sure Thing,545089
6.05,44,0,0,0,0,0.69,0.67,0.02,Sure Thing,546282
1.38,23,0,0,0,0,0.13,0.11,0.02,Sure Thing,546882
1.45,29,0,0,0,0,0.17,0.12,0.05,Sure Thing,547164
0.25,46,0,0,0,0,0.01,0.01,0.0,Sure Thing,549611
3.25,48,1,1,0,0,0.67,0.68,-0.01,Sure Thing,549631
2.78,32,0,0,0,1,0.7,0.68,0.02,Sure Thing,549992
1.32,68,0,0,0,0,0.23,0.1,0.13,Persuadable,550028
3.88,51,1,0,1,0,0.69,0.68,0.01,Sure Thing,550300
0.77,70,1,0,0,1,0.01,0.0,0.01,Sure Thing,550627
0.58,47,1,1,0,0,0.01,0.0,0.01,Sure Thing,550752
2.4,44,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,551042
2.77,53,1,1,0,0,0.68,0.68,-0.01,Sure Thing,552036
0.27,38,0,1,0,0,0.01,0.01,0.0,Sure Thing,554753
1.62,35,0,0,0,0,0.17,0.12,0.06,Persuadable,554956
2.6,16,0,0,0,0,0.47,0.33,0.14,Persuadable,555058
5.02,48,1,1,1,1,0.66,0.6,0.05,Persuadable,555563
2.6,38,1,0,0,1,0.69,0.71,-0.02,Do Not Disturb,556314
2.47,64,1,0,1,0,0.54,0.51,0.03,Sure Thing,556673
0.5,74,0,0,0,0,0.04,0.0,0.03,Sure Thing,557799
1.1,31,1,0,0,0,0.06,0.04,0.02,Sure Thing,558294
2.18,49,1,1,1,0,0.6,0.65,-0.05,Do Not Disturb,559107
0.88,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,559863
1.13,54,1,0,0,0,0.09,0.02,0.07,Persuadable,559936
0.25,41,0,0,0,1,0.01,0.01,0.0,Sure Thing,560125
0.48,46,1,1,0,1,0.01,0.0,0.01,Sure Thing,560341
0.62,38,0,0,0,0,0.01,0.01,0.01,Sure Thing,561652
0.85,40,0,1,0,1,0.01,0.01,0.0,Sure Thing,562010
10.55,41,0,0,1,0,0.72,0.68,0.03,Sure Thing,562612
0.63,33,0,1,0,0,0.01,0.0,0.01,Sure Thing,563162
0.35,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,564737
0.5,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,565419
14.67,29,0,1,0,0,0.74,0.61,0.14,Persuadable,566953
1.8,40,0,0,1,0,0.24,0.11,0.12,Persuadable,569170
1.0,68,1,0,0,0,0.01,0.0,0.01,Sure Thing,569643
0.9,35,1,0,0,1,0.01,0.01,0.0,Sure Thing,570369
4.27,39,1,1,1,0,0.65,0.64,0.01,Sure Thing,571639
2.62,36,0,0,1,0,0.71,0.72,-0.01,Sure Thing,573244
2.55,44,1,0,1,0,0.69,0.71,-0.01,Sure Thing,573379
0.63,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,573698
1.13,48,1,1,0,0,0.07,0.02,0.05,Sure Thing,574440
0.25,46,1,0,0,0,0.01,0.01,0.0,Sure Thing,575733
2.08,54,0,0,1,0,0.58,0.56,0.02,Sure Thing,576966
1.87,41,0,0,0,0,0.27,0.16,0.11,Persuadable,577145
3.0,67,1,0,1,1,0.44,0.29,0.15,Persuadable,577944
0.38,27,0,1,0,0,0.01,0.0,0.01,Sure Thing,579323
0.63,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,579589
0.73,51,1,0,0,0,0.02,0.01,0.01,Sure Thing,580626
0.37,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,581438
1.93,46,1,0,0,0,0.29,0.33,-0.04,Do Not Disturb,581858
0.5,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,582241
0.87,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,582484
0.6,43,1,0,0,0,0.01,0.01,0.01,Sure Thing,583486
1.1,35,0,0,0,0,0.04,0.04,0.01,Sure Thing,587899
0.78,47,0,1,0,0,0.01,0.01,0.0,Sure Thing,588391
1.97,53,1,0,0,0,0.38,0.36,0.02,Sure Thing,590471
0.48,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,593494
0.85,51,1,1,0,0,0.02,0.0,0.01,Sure Thing,594449
3.05,43,0,0,0,1,0.71,0.72,-0.01,Sure Thing,595442
1.85,33,1,0,0,0,0.21,0.17,0.04,Sure Thing,600057
1.13,65,1,0,0,0,0.08,0.01,0.07,Persuadable,602921
5.1,44,0,0,0,0,0.68,0.67,0.02,Sure Thing,603053
0.35,45,0,1,0,0,0.01,0.01,0.0,Sure Thing,605494
0.73,49,0,1,0,1,0.01,0.01,0.0,Sure Thing,606762
3.98,26,0,0,1,0,0.59,0.62,-0.04,Do Not Disturb,608086
0.12,63,1,0,0,0,0.01,0.01,0.01,Sure Thing,608866
2.7,36,0,0,0,0,0.7,0.72,-0.01,Sure Thing,609262
1.02,23,0,0,0,0,0.01,0.01,0.0,Sure Thing,612562
0.87,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,613383
0.4,65,1,0,0,0,0.01,0.0,0.01,Sure Thing,614793
3.5,36,0,1,1,0,0.69,0.68,0.01,Sure Thing,616992
2.03,67,0,0,0,0,0.49,0.14,0.35,Persuadable,618664
2.83,35,0,1,0,0,0.69,0.69,0.0,Sure Thing,620394
1.0,39,0,1,0,0,0.01,0.01,-0.0,Sure Thing,623941
1.97,36,0,1,0,0,0.41,0.26,0.16,Persuadable,625089
1.0,21,0,0,0,0,0.01,0.01,0.0,Sure Thing,625555
1.28,58,0,0,0,0,0.25,0.11,0.14,Persuadable,625597
0.48,25,0,0,0,0,0.01,0.0,0.01,Sure Thing,625700
0.25,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,626114
7.37,47,0,0,0,0,0.69,0.67,0.02,Sure Thing,627436
4.13,16,0,1,0,0,0.28,0.22,0.06,Persuadable,628762
1.63,18,0,0,0,1,0.12,0.08,0.04,Sure Thing,629812
0.9,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,630178
0.53,17,0,1,0,0,0.01,0.01,0.01,Sure Thing,630267
2.58,37,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,630609
0.97,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,630694
0.82,31,0,0,0,0,0.01,0.0,0.01,Sure Thing,631174
1.1,24,0,0,0,0,0.07,0.05,0.02,Sure Thing,631201
1.95,38,1,0,0,0,0.35,0.34,0.01,Sure Thing,631388
0.98,45,0,0,0,0,0.01,0.01,-0.0,Sure Thing,631787
2.12,68,1,0,0,0,0.36,0.25,0.11,Persuadable,631872
0.12,30,0,1,0,0,0.01,0.0,0.01,Sure Thing,386255
2.78,42,0,0,1,0,0.71,0.72,-0.01,Sure Thing,437251
3.15,31,1,0,0,0,0.68,0.67,0.01,Sure Thing,444885
2.43,41,1,0,1,0,0.67,0.71,-0.04,Do Not Disturb,454934
2.0,38,1,1,0,0,0.47,0.46,0.01,Sure Thing,458762
0.47,48,0,0,0,1,0.01,0.01,0.0,Sure Thing,460072
3.0,31,0,0,1,0,0.69,0.68,0.02,Sure Thing,461559
1.4,50,0,0,0,1,0.18,0.11,0.08,Persuadable,462894
1.65,30,0,0,0,1,0.18,0.12,0.05,Persuadable,463867
1.87,41,0,0,1,0,0.27,0.16,0.11,Persuadable,472394
2.73,49,0,1,0,0,0.7,0.69,0.01,Sure Thing,476104
22.43,32,0,1,1,0,0.94,0.61,0.32,Persuadable,485891
3.07,53,1,1,1,1,0.67,0.68,-0.01,Sure Thing,495386
2.25,41,1,0,0,0,0.65,0.7,-0.05,Do Not Disturb,496016
2.15,36,1,0,0,0,0.62,0.59,0.03,Sure Thing,498574
0.85,43,1,1,0,0,0.02,0.0,0.01,Sure Thing,501897
0.62,31,0,0,0,1,0.01,0.0,0.01,Sure Thing,504665
5.03,36,1,1,1,0,0.65,0.6,0.04,Sure Thing,511803
1.22,16,0,1,0,0,0.09,0.1,-0.02,Sure Thing,511878
4.45,51,1,1,1,0,0.65,0.63,0.02,Sure Thing,511902
1.47,29,0,0,0,0,0.2,0.12,0.08,Persuadable,512078
0.78,47,1,0,0,1,0.01,0.01,0.0,Sure Thing,512173
2.7,36,0,0,0,0,0.7,0.72,-0.01,Sure Thing,512463
3.55,36,0,0,0,0,0.71,0.7,0.01,Sure Thing,512587
3.37,33,1,0,1,0,0.68,0.66,0.02,Sure Thing,512999
1.63,48,0,0,0,1,0.21,0.11,0.11,Persuadable,513964
1.62,75,0,0,1,1,0.36,0.13,0.23,Persuadable,514021
0.62,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,514210
2.38,51,1,1,0,0,0.66,0.68,-0.02,Sure Thing,514318
0.23,41,1,0,0,0,0.01,0.01,0.01,Sure Thing,515985
0.75,31,1,0,0,0,0.01,0.0,0.01,Sure Thing,516001
0.73,49,1,1,0,1,0.02,0.0,0.01,Sure Thing,516105
2.83,40,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,516211
2.1,31,0,1,0,0,0.54,0.52,0.02,Sure Thing,516243
1.92,23,1,1,0,0,0.3,0.19,0.11,Persuadable,516283
2.22,25,0,1,0,0,0.56,0.56,0.0,Sure Thing,516765
2.37,53,1,1,1,0,0.67,0.68,-0.01,Sure Thing,517061
2.82,39,0,1,1,0,0.69,0.69,0.0,Sure Thing,518015
0.47,55,1,1,0,1,0.01,0.0,0.01,Sure Thing,518196
1.87,62,1,1,0,0,0.18,0.2,-0.02,Sure Thing,518450
2.22,43,1,1,1,1,0.61,0.67,-0.06,Do Not Disturb,518480
2.3,53,0,0,0,0,0.68,0.72,-0.04,Do Not Disturb,518526
2.53,36,0,0,1,0,0.7,0.72,-0.02,Sure Thing,518870
1.72,39,1,1,0,0,0.25,0.13,0.12,Persuadable,519596
2.87,44,1,0,1,1,0.69,0.71,-0.01,Sure Thing,519747
4.93,56,0,1,1,0,0.55,0.54,0.01,Sure Thing,519846
1.42,42,0,0,0,0,0.18,0.11,0.07,Persuadable,519848
1.27,43,1,0,0,0,0.16,0.12,0.04,Sure Thing,520397
1.15,23,0,0,0,0,0.09,0.05,0.04,Sure Thing,520603
2.2,28,0,0,0,1,0.61,0.66,-0.05,Do Not Disturb,520762
2.63,47,1,0,1,0,0.7,0.71,-0.01,Sure Thing,521434
2.68,33,0,0,0,0,0.7,0.68,0.01,Sure Thing,521663
1.23,37,1,0,1,1,0.12,0.13,-0.01,Sure Thing,521695
