session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,user_id
1.88,35,0,0,0,0,0.21,0.17,0.04,Sure Thing,0.17,No Action,559464
0.38,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,560125
4.68,41,0,0,1,0,0.68,0.67,0.01,Sure Thing,0.7,No Discount (Sure Thing),560367
0.73,43,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,560803
2.72,40,1,1,0,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),561707
2.2,38,0,0,1,0,0.63,0.7,-0.07,Do Not Disturb,0.7,Avoid (Do Not Disturb),562398
3.4,39,0,1,0,0,0.69,0.68,0.01,Sure Thing,0.68,No Action,563059
1.5,40,0,0,0,0,0.22,0.11,0.1,Persuadable,0.12,Give Discount,563787
3.37,37,1,0,1,0,0.69,0.69,-0.01,Sure Thing,0.7,No Discount (Sure Thing),564100
0.65,30,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,565764
0.53,42,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,566338
0.5,41,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,566815
2.12,16,0,0,0,1,0.34,0.32,0.02,Sure Thing,0.35,No Action,567458
1.5,43,0,0,0,0,0.22,0.11,0.11,Persuadable,0.12,Give Discount,569239
1.53,30,0,0,1,1,0.2,0.12,0.08,Persuadable,0.13,Give Discount,571561
3.37,39,0,1,1,0,0.69,0.68,0.01,Sure Thing,0.68,No Action,571637
2.62,27,0,0,0,0,0.65,0.68,-0.03,Do Not Disturb,0.67,Avoid (Do Not Disturb),571757
2.58,43,1,1,1,0,0.68,0.68,-0.0,Sure Thing,0.67,Avoid (Do Not Disturb),573378
0.13,44,1,0,0,1,0.01,0.01,0.0,Sure Thing,0.0,No Action,575561
0.6,50,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,576103
1.18,42,0,1,0,1,0.11,0.07,0.05,Sure Thing,0.1,No Action,577287
1.62,24,1,0,0,1,0.21,0.13,0.08,Persuadable,0.13,Give Discount,577534
3.77,45,0,1,0,1,0.7,0.66,0.03,Sure Thing,0.68,No Action,577984
2.98,30,0,0,0,0,0.69,0.68,0.02,Sure Thing,0.67,No Action,581091
0.5,54,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,581770
2.63,53,1,1,1,0,0.68,0.68,-0.0,Sure Thing,0.67,Avoid (Do Not Disturb),583297
1.42,47,1,0,0,0,0.19,0.12,0.07,Persuadable,0.12,Give Discount,586192
26.43,16,0,0,1,0,0.85,0.6,0.25,Persuadable,0.74,No Discount (Sure Thing),586721
1.0,70,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,587601
0.38,72,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,587753
3.5,39,0,1,1,0,0.69,0.68,0.02,Sure Thing,0.68,No Action,589306
7.48,46,1,0,0,0,0.67,0.66,0.01,Sure Thing,0.69,No Action,589758
1.72,40,0,1,0,0,0.22,0.13,0.09,Persuadable,0.14,Give Discount,590163
0.62,43,0,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,591097
0.68,21,0,0,0,0,0.01,0.0,0.0,Sure Thing,0.0,No Action,593833
2.07,50,1,0,0,0,0.61,0.53,0.08,Persuadable,0.56,Give Discount,594644
4.02,53,1,0,0,1,0.65,0.68,-0.02,Do Not Disturb,0.7,Avoid (Do Not Disturb),595283
1.0,51,1,0,0,1,0.02,0.01,0.0,Sure Thing,0.01,No Action,596153
0.77,45,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,596732
2.2,53,1,0,0,0,0.62,0.69,-0.07,Do Not Disturb,0.69,Avoid (Do Not Disturb),597946
4.55,67,1,0,0,0,0.3,0.3,0.0,Sure Thing,0.28,No Action,598526
2.62,28,1,1,1,0,0.66,0.65,0.01,Sure Thing,0.64,No Action,598715
0.37,27,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,599909
0.28,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,600690
0.5,40,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,603875
0.13,18,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,604592
1.47,52,1,1,0,0,0.23,0.12,0.11,Persuadable,0.13,Give Discount,605780
1.28,54,0,1,0,0,0.23,0.11,0.12,Persuadable,0.13,Give Discount,606041
2.67,42,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),606333
3.3,35,1,1,1,0,0.66,0.68,-0.02,Sure Thing,0.67,Avoid (Do Not Disturb),607280
1.5,39,1,1,0,0,0.25,0.13,0.13,Persuadable,0.14,Give Discount,608820
1.4,37,0,0,0,0,0.16,0.11,0.05,Sure Thing,0.12,No Action,613383
1.15,63,1,0,0,0,0.08,0.04,0.04,Sure Thing,0.05,No Action,617743
3.45,39,1,1,0,0,0.67,0.67,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),618392
4.67,27,0,1,1,0,0.64,0.58,0.05,Persuadable,0.63,Give Discount,618535
1.48,21,0,0,1,0,0.28,0.12,0.15,Persuadable,0.14,Give Discount,620991
2.62,16,0,0,1,1,0.47,0.33,0.14,Persuadable,0.34,Give Discount,625398
2.57,44,0,1,1,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,625400
0.58,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,626520
0.6,55,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,626645
0.38,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,627889
0.9,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,627893
0.37,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,627972
0.65,43,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,628570
0.65,40,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,628653
0.23,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,628694
8.27,44,0,1,1,0,0.67,0.62,0.05,Sure Thing,0.67,No Action,628752
0.83,16,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,628762
3.0,32,0,0,1,0,0.7,0.68,0.02,Sure Thing,0.67,No Action,629647
2.67,30,0,0,1,0,0.7,0.68,0.02,Sure Thing,0.67,No Action,629701
0.7,18,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,629812
0.73,45,1,1,0,1,0.02,0.0,0.01,Sure Thing,0.01,No Action,298253
11.57,41,0,0,0,0,0.72,0.69,0.03,Sure Thing,0.71,No Discount (Sure Thing),374331
2.4,42,1,1,0,0,0.66,0.68,-0.02,Sure Thing,0.67,Avoid (Do Not Disturb),399218
0.13,38,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,440212
0.9,43,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,471946
1.2,48,1,0,0,1,0.09,0.11,-0.02,Do Not Disturb,0.11,Avoid (Do Not Disturb),478801
0.62,26,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,485505
2.27,46,0,1,1,0,0.66,0.69,-0.03,Do Not Disturb,0.68,Avoid (Do Not Disturb),489949
0.77,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,499313
0.52,30,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,499669
0.97,34,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,508973
1.38,41,0,0,0,0,0.17,0.11,0.06,Persuadable,0.12,Give Discount,511613
2.75,45,0,1,1,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,511665
1.83,27,0,0,0,0,0.2,0.12,0.08,Persuadable,0.13,Give Discount,511772
4.05,51,1,0,1,0,0.66,0.68,-0.01,Sure Thing,0.7,Avoid (Do Not Disturb),512201
5.47,42,0,0,1,0,0.69,0.67,0.02,Sure Thing,0.7,No Discount (Sure Thing),512655
1.43,41,0,0,0,0,0.18,0.11,0.08,Persuadable,0.12,Give Discount,513826
2.82,51,1,0,1,0,0.7,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),515778
1.1,46,0,1,0,0,0.04,0.03,0.01,Sure Thing,0.03,No Action,516117
3.83,39,0,0,0,0,0.7,0.69,0.01,Sure Thing,0.71,No Discount (Sure Thing),516296
2.83,47,1,0,1,0,0.7,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),516561
3.8,52,0,1,1,0,0.7,0.66,0.04,Sure Thing,0.68,No Action,516616
3.67,48,1,0,1,1,0.7,0.69,0.01,Sure Thing,0.7,No Discount (Sure Thing),517847
0.87,21,1,0,0,0,0.01,0.0,0.0,Sure Thing,0.0,No Action,518645
1.23,53,1,0,0,0,0.09,0.12,-0.03,Do Not Disturb,0.12,Avoid (Do Not Disturb),518866
0.25,41,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,520265
3.25,40,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,0.7,No Discount (Sure Thing),520733
1.3,34,0,0,0,0,0.15,0.12,0.03,Sure Thing,0.12,No Action,521259
2.38,41,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,0.71,No Discount (Sure Thing),523690
2.78,55,1,0,0,0,0.68,0.7,-0.02,Do Not Disturb,0.7,Avoid (Do Not Disturb),523768
3.07,51,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),523981
0.37,31,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,524606
0.75,25,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,525377
2.55,35,0,0,1,1,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),525389
2.67,47,0,1,1,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,525804
2.33,39,0,0,0,0,0.69,0.72,-0.03,Do Not Disturb,0.71,No Discount (Sure Thing),526084
0.38,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,526235
3.65,55,1,0,0,0,0.68,0.69,-0.01,Sure Thing,0.7,Avoid (Do Not Disturb),526258
2.62,27,0,0,1,1,0.65,0.68,-0.03,Do Not Disturb,0.67,Avoid (Do Not Disturb),526365
0.88,46,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,526372
2.17,56,1,0,0,0,0.58,0.56,0.02,Sure Thing,0.54,No Action,526916
1.38,50,1,1,0,0,0.18,0.12,0.05,Persuadable,0.13,Give Discount,527995
0.5,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,528193
0.73,35,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,528690
0.38,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,529205
1.08,45,0,1,0,0,0.06,0.02,0.04,Sure Thing,0.03,No Action,530277
1.1,32,0,1,0,0,0.05,0.04,0.02,Sure Thing,0.05,No Action,530869
1.03,31,0,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,No Action,531073
0.85,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,531158
4.3,46,0,0,1,0,0.68,0.68,0.01,Sure Thing,0.7,No Discount (Sure Thing),531654
2.0,54,1,0,1,1,0.46,0.52,-0.06,Do Not Disturb,0.53,Avoid (Do Not Disturb),531670
2.15,27,0,0,0,0,0.55,0.58,-0.03,Do Not Disturb,0.59,Avoid (Do Not Disturb),531926
2.22,57,1,1,1,0,0.5,0.52,-0.02,Sure Thing,0.5,Avoid (Do Not Disturb),531971
1.1,31,0,0,0,0,0.06,0.04,0.02,Sure Thing,0.04,No Action,532656
0.48,21,0,0,0,1,0.01,0.0,0.0,Sure Thing,0.0,No Action,533204
0.7,58,1,1,0,1,0.01,0.0,0.01,Sure Thing,0.01,No Action,533327
3.05,34,0,0,1,0,0.7,0.69,0.01,Sure Thing,0.67,No Action,533411
1.37,32,1,1,0,0,0.24,0.12,0.12,Persuadable,0.13,Give Discount,533550
0.23,41,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,534045
1.47,37,1,1,0,0,0.25,0.13,0.12,Persuadable,0.14,Give Discount,534190
3.25,50,0,1,0,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,535035
0.4,54,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,536034
2.2,52,1,0,1,0,0.63,0.69,-0.06,Do Not Disturb,0.69,Avoid (Do Not Disturb),536764
0.38,45,0,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,537586
0.77,33,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,539729
3.53,23,0,0,0,1,0.45,0.31,0.15,Persuadable,0.32,Give Discount,539888
1.55,24,0,0,0,0,0.2,0.12,0.08,Persuadable,0.12,Give Discount,541216
0.5,38,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,541382
0.73,42,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,542976
0.6,34,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,543713
2.0,55,1,1,1,0,0.39,0.46,-0.07,Do Not Disturb,0.45,Avoid (Do Not Disturb),544271
1.12,16,0,0,0,0,0.05,0.06,-0.01,Sure Thing,0.06,Avoid (Do Not Disturb),545089
6.05,44,0,0,0,0,0.69,0.67,0.02,Sure Thing,0.7,No Discount (Sure Thing),546282
1.38,23,0,0,0,0,0.13,0.11,0.02,Sure Thing,0.11,No Action,546882
1.45,29,0,0,0,0,0.17,0.12,0.05,Sure Thing,0.13,No Action,547164
0.25,46,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,549611
3.25,48,1,1,0,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),549631
2.78,32,0,0,0,1,0.7,0.68,0.02,Sure Thing,0.67,No Action,549992
1.32,68,0,0,0,0,0.23,0.1,0.13,Persuadable,0.11,Give Discount,550028
3.88,51,1,0,1,0,0.69,0.68,0.01,Sure Thing,0.7,No Action,550300
0.77,70,1,0,0,1,0.01,0.0,0.01,Sure Thing,0.01,No Action,550627
0.58,47,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,550752
2.4,44,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,0.7,No Discount (Sure Thing),551042
2.77,53,1,1,0,0,0.68,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),552036
0.27,38,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,554753
1.62,35,0,0,0,0,0.17,0.12,0.06,Persuadable,0.13,Give Discount,554956
2.6,16,0,0,0,0,0.47,0.33,0.14,Persuadable,0.34,Give Discount,555058
5.02,48,1,1,1,1,0.66,0.6,0.05,Persuadable,0.66,Give Discount,555563
2.6,38,1,0,0,1,0.69,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),556314
2.47,64,1,0,1,0,0.54,0.51,0.03,Sure Thing,0.49,No Action,556673
0.5,74,0,0,0,0,0.04,0.0,0.03,Sure Thing,0.01,No Action,557799
1.1,31,1,0,0,0,0.06,0.04,0.02,Sure Thing,0.04,No Action,558294
2.18,49,1,1,1,0,0.6,0.65,-0.05,Do Not Disturb,0.63,Avoid (Do Not Disturb),559107
0.88,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,559863
1.13,54,1,0,0,0,0.09,0.02,0.07,Persuadable,0.03,Give Discount,559936
0.25,41,0,0,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,560125
0.48,46,1,1,0,1,0.01,0.0,0.01,Sure Thing,0.01,No Action,560341
0.62,38,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,561652
0.85,40,0,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,562010
10.55,41,0,0,1,0,0.72,0.68,0.03,Sure Thing,0.71,No Discount (Sure Thing),562612
0.63,33,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,563162
0.35,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,564737
0.5,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,565419
14.67,29,0,1,0,0,0.74,0.61,0.14,Persuadable,0.68,Give Discount,566953
1.8,40,0,0,1,0,0.24,0.11,0.12,Persuadable,0.12,Give Discount,569170
1.0,68,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,569643
0.9,35,1,0,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,570369
4.27,39,1,1,1,0,0.65,0.64,0.01,Sure Thing,0.67,No Action,571639
2.62,36,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),573244
2.55,44,1,0,1,0,0.69,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),573379
0.63,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,573698
1.13,48,1,1,0,0,0.07,0.02,0.05,Sure Thing,0.03,No Action,574440
0.25,46,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,575733
2.08,54,0,0,1,0,0.58,0.56,0.02,Sure Thing,0.56,No Action,576966
1.87,41,0,0,0,0,0.27,0.16,0.11,Persuadable,0.16,Give Discount,577145
3.0,67,1,0,1,1,0.44,0.29,0.15,Persuadable,0.3,Give Discount,577944
0.38,27,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,579323
0.63,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,579589
0.73,51,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.0,No Action,580626
0.37,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,581438
1.93,46,1,0,0,0,0.29,0.33,-0.04,Do Not Disturb,0.29,Avoid (Do Not Disturb),581858
0.5,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,582241
0.87,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,582484
0.6,43,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,583486
1.1,35,0,0,0,0,0.04,0.04,0.01,Sure Thing,0.04,No Action,587899
0.78,47,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,588391
1.97,53,1,0,0,0,0.38,0.36,0.02,Sure Thing,0.31,No Action,590471
0.48,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,593494
