session_duration,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,expected_value,decision,user_id
0.72,0.0,43,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.9,Low Priority,519532
2.27,328.79,46,1,0,1,1,0.9,0.92,-0.03,Do Not Disturb,0.92,-17.86,No Discount (Sure Thing),519896
0.75,0.0,20,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.73,Low Priority,519982
4.15,95.48,46,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.65,No Discount (Sure Thing),520152
2.97,508.96,48,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.03,No Discount (Sure Thing),520193
0.47,0.0,34,1,0,0,0,0.0,0.0,-0.0,Lost Cause,0.01,-15.08,Avoid (Do Not Disturb),520440
3.03,0.0,28,0,0,0,0,0.26,0.16,0.1,Persuadable,0.17,-4.93,Low Priority,520762
0.23,0.0,69,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-13.94,Low Priority,520780
0.37,0.0,37,0,0,0,1,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),520902
3.1,551.29,43,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.33,No Discount (Sure Thing),521720
1.13,0.0,43,1,1,0,0,0.09,0.03,0.07,Sure Thing,0.03,-8.39,Low Priority,521865
3.13,0.0,52,1,1,0,0,0.23,0.15,0.09,Persuadable,0.17,-6.24,Low Priority,522809
0.88,0.0,71,1,0,0,0,0.03,0.01,0.02,Sure Thing,0.01,-12.92,Low Priority,524057
0.37,0.0,45,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.61,Low Priority,524728
0.63,0.0,38,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.01,Avoid (Do Not Disturb),526297
2.43,492.47,36,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.75,No Discount (Sure Thing),526855
2.07,313.98,42,0,0,1,1,0.87,0.91,-0.04,Do Not Disturb,0.89,-18.95,No Discount (Sure Thing),527452
3.25,0.0,30,0,1,0,0,0.25,0.15,0.1,Persuadable,0.17,-4.73,Low Priority,527470
2.25,417.36,28,0,0,0,0,0.89,0.91,-0.02,Do Not Disturb,0.92,-17.17,No Discount (Sure Thing),527690
1.12,0.0,46,1,0,0,0,0.09,0.03,0.06,Sure Thing,0.03,-8.88,Low Priority,528580
0.63,0.0,45,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.81,Low Priority,530240
0.77,0.0,34,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.94,Low Priority,530298
0.13,0.0,58,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.5,Low Priority,530673
1.9,0.0,41,0,1,1,0,0.23,0.13,0.1,Persuadable,0.15,-5.38,Low Priority,532835
1.45,162.01,49,0,0,0,0,0.07,0.12,-0.05,Do Not Disturb,0.06,-19.79,Avoid (Do Not Disturb),533117
1.37,0.0,68,1,0,0,0,0.18,0.12,0.05,Sure Thing,0.14,-9.68,Low Priority,533187
0.27,0.0,39,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,533490
3.7,400.36,35,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.92,-15.83,No Discount (Sure Thing),534747
0.87,0.0,36,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.11,Avoid (Do Not Disturb),535063
1.03,0.0,27,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.43,Low Priority,535459
4.1,597.43,50,0,0,0,0,0.91,0.92,-0.01,Do Not Disturb,0.92,-15.91,No Discount (Sure Thing),536604
1.47,0.0,49,1,1,0,0,0.23,0.13,0.1,Persuadable,0.14,-5.01,Low Priority,537038
1.47,0.0,48,0,1,0,0,0.23,0.12,0.11,Persuadable,0.14,-3.52,Low Priority,538131
2.4,154.16,35,0,1,1,0,0.91,0.93,-0.03,Do Not Disturb,0.93,-17.6,No Discount (Sure Thing),538350
0.88,0.0,21,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.77,Low Priority,538463
0.62,0.0,50,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.5,Low Priority,538944
2.88,863.88,62,1,1,1,0,0.87,0.92,-0.05,Do Not Disturb,0.91,-19.65,No Discount (Sure Thing),540029
3.25,475.29,38,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.22,No Discount (Sure Thing),540656
1.07,0.0,46,1,0,0,0,0.11,0.02,0.09,Persuadable,0.04,-6.43,Low Priority,542065
1.93,164.54,34,1,1,1,0,0.49,0.72,-0.23,Do Not Disturb,0.73,-37.85,No Discount (Sure Thing),542918
2.23,312.83,62,1,0,0,0,0.87,0.9,-0.03,Do Not Disturb,0.88,-17.53,No Discount (Sure Thing),543237
1.23,0.0,50,1,0,0,1,0.12,0.12,-0.01,Do Not Disturb,0.13,-15.73,Avoid (Do Not Disturb),543497
1.73,0.0,48,1,0,0,0,0.25,0.13,0.12,Persuadable,0.14,-2.8,Low Priority,544254
0.6,0.0,28,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.59,Low Priority,544818
1.0,0.0,37,0,1,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.16,Avoid (Do Not Disturb),544926
0.95,0.0,51,0,0,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.96,Low Priority,545399
0.78,0.0,66,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.45,Low Priority,546937
4.83,596.04,42,1,1,1,1,0.9,0.93,-0.02,Do Not Disturb,0.92,-17.08,No Discount (Sure Thing),547150
1.12,0.0,25,0,1,0,0,0.08,0.03,0.05,Sure Thing,0.04,-10.42,Low Priority,547938
0.42,0.0,33,1,0,0,0,0.0,0.0,-0.0,Lost Cause,0.01,-15.09,Avoid (Do Not Disturb),548190
6.33,206.67,40,0,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.92,-16.49,No Discount (Sure Thing),548672
2.08,316.74,47,1,0,1,0,0.87,0.9,-0.03,Do Not Disturb,0.89,-17.75,No Discount (Sure Thing),548988
2.08,42.99,42,1,1,1,0,0.87,0.9,-0.03,Do Not Disturb,0.89,-18.18,No Discount (Sure Thing),550200
0.37,0.0,45,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.03,Avoid (Do Not Disturb),551088
1.0,0.0,34,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.15,Avoid (Do Not Disturb),551488
2.83,62.94,25,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.94,-16.64,No Discount (Sure Thing),552649
0.27,0.0,29,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.54,Low Priority,552929
1.45,0.0,16,0,1,0,0,0.25,0.11,0.14,Persuadable,0.13,-1.25,Low Priority,553743
1.23,0.0,26,0,0,0,0,0.11,0.12,-0.01,Do Not Disturb,0.13,-15.72,Avoid (Do Not Disturb),555250
0.65,0.0,42,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.99,Low Priority,556824
1.67,0.0,74,0,0,0,0,0.31,0.13,0.18,Persuadable,0.17,2.96,Give Discount,557799
1.78,0.0,46,1,0,0,0,0.24,0.13,0.12,Persuadable,0.14,-3.48,Low Priority,557957
0.27,0.0,48,1,1,0,1,0.01,0.0,0.0,Sure Thing,0.01,-14.54,Low Priority,558251
1.88,0.0,35,0,0,0,0,0.21,0.13,0.08,Sure Thing,0.14,-7.32,Low Priority,559464
0.38,0.0,41,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.86,Low Priority,560125
4.68,540.9,41,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.68,No Discount (Sure Thing),560367
0.73,0.0,43,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.34,Low Priority,560803
2.72,521.92,40,1,1,0,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-17.15,No Discount (Sure Thing),561707
2.2,170.85,38,0,0,1,0,0.87,0.93,-0.05,Do Not Disturb,0.92,-20.17,No Discount (Sure Thing),562398
3.4,0.0,39,0,1,0,0,0.23,0.16,0.08,Persuadable,0.17,-7.11,Low Priority,563059
1.5,0.0,40,0,0,0,0,0.23,0.12,0.11,Persuadable,0.13,-4.04,Low Priority,563787
3.37,872.14,37,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.71,No Discount (Sure Thing),564100
0.65,0.0,30,0,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.49,Low Priority,565764
0.53,0.0,42,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.4,Low Priority,566338
0.5,0.0,41,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.37,Low Priority,566815
2.12,0.0,16,0,0,0,1,0.22,0.13,0.08,Persuadable,0.15,-6.76,Low Priority,567458
1.5,0.0,43,0,0,0,0,0.23,0.12,0.11,Persuadable,0.13,-3.84,Low Priority,569239
1.53,0.0,30,0,0,1,1,0.23,0.13,0.1,Persuadable,0.14,-4.74,Low Priority,571561
3.37,518.27,39,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.68,No Discount (Sure Thing),571637
2.62,0.0,27,0,0,0,0,0.25,0.16,0.09,Persuadable,0.17,-5.77,Low Priority,571757
2.58,905.51,43,1,1,1,0,0.89,0.93,-0.03,Do Not Disturb,0.92,-18.46,No Discount (Sure Thing),573378
0.13,0.0,44,1,0,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.6,Low Priority,575561
0.6,0.0,50,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.22,Low Priority,576103
1.18,0.0,42,0,1,0,1,0.13,0.07,0.06,Sure Thing,0.09,-9.45,Low Priority,577287
1.62,0.0,24,1,0,0,1,0.22,0.15,0.07,Sure Thing,0.16,-7.64,Low Priority,577534
3.77,0.0,45,0,1,0,1,0.23,0.14,0.09,Persuadable,0.17,-5.54,Low Priority,577984
2.98,0.0,30,0,0,0,0,0.27,0.16,0.11,Persuadable,0.17,-4.12,Low Priority,581091
0.5,0.0,54,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.45,Low Priority,581770
2.63,688.14,53,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-17.24,No Discount (Sure Thing),583297
1.42,0.0,47,1,0,0,0,0.22,0.12,0.09,Persuadable,0.14,-5.6,Low Priority,586192
26.43,0.0,16,0,0,1,0,0.38,0.42,-0.04,Do Not Disturb,0.45,-19.27,Avoid (Do Not Disturb),586721
1.0,0.0,70,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,-13.74,Low Priority,587601
0.38,0.0,72,1,0,0,0,0.03,0.01,0.02,Sure Thing,0.02,-13.35,Low Priority,587753
3.5,196.0,39,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.79,No Discount (Sure Thing),589306
7.48,0.0,46,1,0,0,0,0.25,0.14,0.11,Persuadable,0.17,-4.16,Low Priority,589758
1.72,0.0,40,0,1,0,0,0.23,0.13,0.11,Persuadable,0.14,-4.32,Low Priority,590163
0.62,0.0,43,0,1,0,1,0.01,0.0,0.01,Sure Thing,0.01,-14.3,Low Priority,591097
0.68,0.0,21,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.16,Low Priority,593833
2.07,0.0,50,1,0,0,0,0.25,0.14,0.11,Persuadable,0.17,-3.97,Low Priority,594644
4.02,301.34,53,1,0,0,1,0.91,0.92,-0.01,Do Not Disturb,0.92,-15.92,No Discount (Sure Thing),595283
1.0,0.0,51,1,0,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.73,Low Priority,596153
0.77,0.0,45,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.57,Low Priority,596732
2.2,0.0,53,1,0,0,0,0.23,0.16,0.08,Sure Thing,0.18,-7.31,Low Priority,597946
4.55,0.0,67,1,0,0,0,0.26,0.14,0.12,Persuadable,0.15,-2.95,Low Priority,598526
2.62,537.0,28,1,1,1,0,0.91,0.92,-0.01,Do Not Disturb,0.92,-16.02,No Discount (Sure Thing),598715
0.37,0.0,27,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.79,Low Priority,599909
0.28,0.0,37,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),600690
0.5,0.0,40,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,603875
0.13,0.0,18,0,0,0,0,0.01,0.0,0.0,Lost Cause,0.01,-14.74,Low Priority,604592
1.47,0.0,52,1,1,0,0,0.22,0.12,0.1,Persuadable,0.14,-5.16,Low Priority,605780
1.28,0.0,54,0,1,0,0,0.22,0.12,0.1,Persuadable,0.12,-5.05,Low Priority,606041
2.67,223.66,42,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.42,No Discount (Sure Thing),606333
3.3,264.94,35,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.93,No Discount (Sure Thing),607280
1.5,0.0,39,1,1,0,0,0.25,0.13,0.12,Persuadable,0.15,-3.03,Low Priority,608820
1.4,0.0,37,0,0,0,0,0.2,0.12,0.08,Persuadable,0.13,-7.03,Low Priority,613383
1.15,0.0,63,1,0,0,0,0.09,0.04,0.05,Sure Thing,0.05,-10.16,Low Priority,617743
3.45,366.58,39,1,1,0,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.86,No Discount (Sure Thing),618392
4.67,283.28,27,0,1,1,0,0.92,0.92,-0.0,Lost Cause,0.92,-15.03,No Discount (Sure Thing),618535
1.48,0.0,21,0,0,1,0,0.23,0.13,0.1,Persuadable,0.14,-4.73,Low Priority,620991
2.62,580.79,16,0,0,1,1,0.92,0.87,0.04,Sure Thing,0.88,-10.73,No Discount (Sure Thing),625398
2.57,665.06,44,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.98,No Discount (Sure Thing),625400
0.58,0.0,44,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.98,Low Priority,626520
0.6,0.0,55,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.71,Low Priority,626645
0.38,0.0,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.53,Low Priority,627889
0.9,0.0,30,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.34,Low Priority,627893
0.37,0.0,37,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.65,Low Priority,627972
0.65,0.0,43,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.3,Low Priority,628570
0.65,0.0,40,1,0,0,0,0.01,0.0,0.0,Sure Thing,0.01,-14.53,Low Priority,628653
0.23,0.0,45,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.61,Low Priority,628694
8.27,209.6,44,0,1,1,0,0.91,0.93,-0.01,Do Not Disturb,0.92,-16.04,No Discount (Sure Thing),628752
0.83,0.0,16,0,1,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.33,Avoid (Do Not Disturb),628762
3.0,236.56,32,0,0,1,0,0.92,0.92,-0.01,Do Not Disturb,0.93,-15.8,No Discount (Sure Thing),629647
2.67,417.63,30,0,0,1,0,0.91,0.92,-0.01,Do Not Disturb,0.93,-16.03,No Discount (Sure Thing),629701
0.7,0.0,18,0,0,0,0,0.01,0.0,0.0,Lost Cause,0.01,-14.74,Low Priority,629812
0.73,0.0,45,1,1,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.57,Low Priority,298253
11.57,236.26,41,0,0,0,0,0.93,0.93,0.0,Lost Cause,0.92,-14.7,No Discount (Sure Thing),374331
2.4,418.5,42,1,1,0,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-17.29,No Discount (Sure Thing),399218
0.13,0.0,38,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.7,Low Priority,440212
0.9,0.0,43,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.4,Low Priority,471946
1.2,0.0,48,1,0,0,1,0.11,0.12,-0.01,Do Not Disturb,0.12,-15.91,Avoid (Do Not Disturb),478801
0.62,0.0,26,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.79,Low Priority,485505
2.27,2019.58,46,0,1,1,0,0.85,0.91,-0.06,Do Not Disturb,0.89,-21.05,No Discount (Sure Thing),489949
0.77,0.0,44,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.98,Low Priority,499313
0.52,0.0,30,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.48,Low Priority,499669
0.97,0.0,34,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.06,Avoid (Do Not Disturb),508973
1.38,0.0,41,0,0,0,0,0.2,0.12,0.08,Persuadable,0.13,-6.56,Low Priority,511613
2.75,1006.35,45,0,1,1,0,0.88,0.93,-0.05,Do Not Disturb,0.92,-19.55,No Discount (Sure Thing),511665
1.83,0.0,27,0,0,0,0,0.21,0.13,0.08,Persuadable,0.14,-6.61,Low Priority,511772
4.05,486.6,51,1,0,1,0,0.92,0.92,-0.01,Do Not Disturb,0.92,-15.61,No Discount (Sure Thing),512201
5.47,167.68,42,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.51,No Discount (Sure Thing),512655
1.43,500.28,41,0,0,0,0,0.09,0.12,-0.03,Do Not Disturb,0.07,-18.4,Avoid (Do Not Disturb),513826
2.82,521.4,51,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.88,No Discount (Sure Thing),515778
1.1,183.23,46,0,1,0,0,0.05,0.12,-0.07,Do Not Disturb,0.09,-21.98,Avoid (Do Not Disturb),516117
3.83,0.0,39,0,0,0,0,0.24,0.16,0.08,Persuadable,0.18,-6.71,Low Priority,516296
2.83,173.54,47,1,0,1,0,0.93,0.93,-0.01,Do Not Disturb,0.93,-15.61,No Discount (Sure Thing),516561
3.8,410.35,52,0,1,1,0,0.91,0.92,-0.02,Do Not Disturb,0.92,-16.64,No Discount (Sure Thing),516616
3.67,266.4,48,1,0,1,1,0.92,0.93,-0.01,Lost Cause,0.93,-15.51,No Discount (Sure Thing),517847
0.87,0.0,21,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,-14.15,Low Priority,518645
1.23,0.0,53,1,0,0,0,0.12,0.12,-0.01,Do Not Disturb,0.13,-15.79,Avoid (Do Not Disturb),518866
0.25,0.0,41,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.33,Low Priority,520265
3.25,1375.87,40,1,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.54,No Discount (Sure Thing),520733
1.3,0.0,34,0,0,0,0,0.18,0.12,0.06,Sure Thing,0.13,-9.15,Low Priority,521259
2.38,270.72,41,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.79,No Discount (Sure Thing),523690
2.78,0.0,55,1,0,0,0,0.23,0.15,0.08,Sure Thing,0.18,-7.28,Low Priority,523768
3.07,498.5,51,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.87,No Discount (Sure Thing),523981
0.37,0.0,31,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.92,Low Priority,524606
0.75,0.0,25,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.69,Low Priority,525377
2.55,292.61,35,0,0,1,1,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.76,No Discount (Sure Thing),525389
2.67,455.01,47,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.68,No Discount (Sure Thing),525804
2.33,0.0,39,0,0,0,0,0.24,0.16,0.09,Persuadable,0.18,-6.1,Low Priority,526084
0.38,0.0,44,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.98,Low Priority,526235
3.65,0.0,55,1,0,0,0,0.23,0.16,0.08,Sure Thing,0.18,-7.31,Low Priority,526258
2.62,439.87,27,0,0,1,1,0.93,0.92,0.01,Sure Thing,0.93,-14.02,No Discount (Sure Thing),526365
0.88,0.0,46,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.73,Low Priority,526372
2.17,0.0,56,1,0,0,0,0.23,0.16,0.07,Sure Thing,0.17,-7.72,Low Priority,526916
1.38,0.0,50,1,1,0,0,0.21,0.13,0.09,Persuadable,0.14,-6.28,Low Priority,527995
0.5,0.0,39,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,528193
0.73,0.0,35,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.64,Low Priority,528690
0.38,0.0,37,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),529205
1.08,0.0,45,0,1,0,0,0.05,0.02,0.02,Sure Thing,0.03,-12.69,Low Priority,530277
1.1,0.0,32,0,1,0,0,0.05,0.03,0.02,Sure Thing,0.04,-13.37,Low Priority,530869
1.03,0.0,31,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.69,Low Priority,531073
0.85,0.0,39,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,531158
4.3,821.12,46,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.85,No Discount (Sure Thing),531654
2.0,0.0,54,1,0,1,1,0.25,0.15,0.1,Persuadable,0.17,-4.7,Low Priority,531670
2.15,1623.21,27,0,0,0,0,0.87,0.83,0.04,Sure Thing,0.85,-10.68,No Discount (Sure Thing),531926
2.22,438.42,57,1,1,1,0,0.87,0.91,-0.04,Do Not Disturb,0.9,-19.12,No Discount (Sure Thing),531971
1.1,0.0,31,0,0,0,0,0.06,0.04,0.02,Sure Thing,0.03,-12.91,Low Priority,532656
0.48,0.0,21,0,0,0,1,0.01,0.01,0.01,Sure Thing,0.01,-14.16,Low Priority,533204
0.7,0.0,58,1,1,0,1,0.01,0.01,0.01,Sure Thing,0.01,-14.5,Low Priority,533327
3.05,198.91,34,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.19,No Discount (Sure Thing),533411
1.37,0.0,32,1,1,0,0,0.26,0.13,0.13,Persuadable,0.15,-1.96,Low Priority,533550
0.23,0.0,41,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.37,Low Priority,534045
1.47,0.0,37,1,1,0,0,0.24,0.13,0.11,Persuadable,0.15,-4.44,Low Priority,534190
3.25,0.0,50,0,1,0,0,0.27,0.14,0.13,Persuadable,0.17,-2.0,Low Priority,535035
0.4,0.0,54,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.45,Low Priority,536034
2.2,134.76,52,1,0,1,0,0.9,0.92,-0.02,Do Not Disturb,0.92,-17.5,No Discount (Sure Thing),536764
0.38,0.0,45,0,1,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.81,Low Priority,537586
0.77,0.0,33,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.9,Low Priority,539729
3.53,0.0,23,0,0,0,1,0.23,0.13,0.1,Persuadable,0.14,-5.05,Low Priority,539888
1.55,0.0,24,0,0,0,0,0.21,0.13,0.08,Persuadable,0.13,-6.69,Low Priority,541216
0.5,0.0,38,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.7,Low Priority,541382
0.73,0.0,42,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.37,Low Priority,542976
