session_duration,page_clicks,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,expected_value,user_id
4.1,33,597.43,50,0,0,0,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.68,536604
2.4,19,154.16,35,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.17,538350
2.88,23,863.88,62,1,1,1,0,0.94,0.94,0.0,Sure Thing,0.95,No Discount (Sure Thing),94.13,540029
3.25,26,475.29,38,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.03,540656
1.93,16,164.54,34,1,1,1,0,0.65,0.78,-0.13,Do Not Disturb,0.77,No Discount (Sure Thing),77.73,542918
2.23,18,312.83,62,1,0,0,0,0.89,0.92,-0.02,Do Not Disturb,0.9,No Discount (Sure Thing),91.68,543237
4.83,39,596.04,42,1,1,1,1,0.93,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.48,547150
6.33,51,206.67,40,0,0,1,0,0.91,0.94,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.39,548672
2.08,18,316.74,47,1,0,1,0,0.89,0.92,-0.03,Do Not Disturb,0.91,No Discount (Sure Thing),92.24,548988
2.08,17,42.99,42,1,1,1,0,0.89,0.92,-0.02,Do Not Disturb,0.91,No Discount (Sure Thing),91.62,550200
2.83,23,62.94,25,0,0,1,0,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),95.0,552649
4.68,37,540.9,41,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.64,560367
2.72,22,521.92,40,1,1,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.87,561707
2.2,17,170.85,38,0,0,1,0,0.87,0.92,-0.05,Do Not Disturb,0.92,No Discount (Sure Thing),92.09,562398
3.37,28,872.14,37,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.79,564100
3.37,27,518.27,39,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.88,571637
2.58,21,905.51,43,1,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.65,573378
2.63,21,688.14,53,1,1,1,0,0.94,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.7,583297
3.5,29,196.0,39,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.11,589306
4.02,33,301.34,53,1,0,0,1,0.91,0.95,-0.04,Do Not Disturb,0.95,No Discount (Sure Thing),94.66,595283
2.62,21,537.0,28,1,1,1,0,0.94,0.94,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.44,598715
2.67,21,223.66,42,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,606333
3.3,26,264.94,35,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.92,607280
3.45,28,366.58,39,1,1,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,618392
4.67,38,283.28,27,0,1,1,0,0.94,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.44,618535
2.62,21,580.79,16,0,0,1,1,0.95,0.9,0.05,Persuadable,0.92,No Discount (Sure Thing),90.18,625398
2.57,20,665.06,44,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.84,625400
8.27,68,209.6,44,0,1,1,0,0.94,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.44,628752
3.0,24,236.56,32,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,629647
2.67,21,417.63,30,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.85,629701
11.57,92,236.26,41,0,0,0,0,0.95,0.94,0.01,Sure Thing,0.94,No Discount (Sure Thing),93.74,374331
2.4,19,418.5,42,1,1,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.91,399218
2.27,18,2019.58,46,0,1,1,0,0.84,0.92,-0.08,Do Not Disturb,0.88,No Discount (Sure Thing),91.88,489949
2.75,22,1006.35,45,0,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.83,511665
4.05,33,486.6,51,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.71,512201
5.47,43,167.68,42,0,0,1,0,0.92,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.64,512655
1.43,11,500.28,41,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,0.07,513826
2.82,23,521.4,51,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,515778
1.1,9,183.23,46,0,1,0,0,0.0,0.0,0.0,Sure Thing,0.01,No Action,0.34,516117
2.83,23,173.54,47,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.14,516561
3.8,30,410.35,52,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.89,516616
3.67,29,266.4,48,1,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,517847
3.25,26,1375.87,40,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.69,520733
2.38,19,270.72,41,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.99,523690
3.07,25,498.5,51,0,0,1,0,0.94,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.97,523981
2.55,20,292.61,35,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,525389
2.67,22,455.01,47,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.02,525804
2.62,21,439.87,27,0,0,1,1,0.95,0.95,0.0,Sure Thing,0.95,No Discount (Sure Thing),94.87,526365
4.3,35,821.12,46,0,0,1,0,0.92,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.64,531654
2.15,17,1623.21,27,0,0,0,0,0.86,0.81,0.05,Sure Thing,0.85,No Discount (Sure Thing),80.96,531926
2.22,18,438.42,57,1,1,1,0,0.85,0.93,-0.08,Do Not Disturb,0.92,No Discount (Sure Thing),93.28,531971
3.05,25,198.91,34,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.14,533411
2.2,18,134.76,52,1,0,1,0,0.9,0.94,-0.03,Do Not Disturb,0.93,No Discount (Sure Thing),93.53,536764
2.0,16,542.21,55,1,1,1,0,0.79,0.8,-0.02,Sure Thing,0.79,No Discount (Sure Thing),80.22,544271
1.38,11,671.34,23,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,0.03,546882
1.32,11,467.37,68,0,0,0,0,0.0,0.0,-0.0,Sure Thing,0.02,Avoid (Do Not Disturb),0.32,550028
3.88,32,75.07,51,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.01,550300
2.4,19,394.27,44,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,551042
1.62,13,470.52,35,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,0.93,554956
5.02,41,92.29,48,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.68,555563
2.47,20,349.3,64,1,0,1,0,0.93,0.94,-0.0,Sure Thing,0.93,No Discount (Sure Thing),93.79,556673
4.27,35,313.35,39,1,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.71,571639
2.62,21,711.22,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,573244
2.55,20,406.81,44,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,573379
2.08,17,135.34,54,0,0,1,0,0.82,0.92,-0.1,Do Not Disturb,0.91,No Discount (Sure Thing),91.68,576966
3.05,25,38.98,43,0,0,0,1,0.91,0.95,-0.04,Do Not Disturb,0.95,No Discount (Sure Thing),95.17,595442
3.98,32,399.38,26,0,0,1,0,0.94,0.95,-0.0,Sure Thing,0.94,No Discount (Sure Thing),94.61,608086
3.5,29,122.29,36,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.1,616992
1.97,16,200.2,36,0,1,0,0,0.71,0.74,-0.02,Do Not Disturb,0.75,No Discount (Sure Thing),73.58,625089
1.28,10,370.8,58,0,0,0,0,0.02,0.0,0.02,Sure Thing,0.01,No Action,0.2,625597
2.58,21,124.97,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,630609
2.78,23,625.97,42,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.0,437251
2.43,20,192.99,41,1,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.12,454934
2.0,16,212.08,38,1,1,0,0,0.83,0.78,0.05,Persuadable,0.77,No Discount (Sure Thing),78.04,458762
3.0,24,31.41,31,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),95.08,461559
3.07,25,512.94,53,1,1,1,1,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.88,495386
5.03,41,1196.64,36,1,1,1,0,0.91,0.94,-0.04,Do Not Disturb,0.94,No Discount (Sure Thing),94.19,511803
4.45,36,635.13,51,1,1,1,0,0.92,0.94,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.46,511902
3.37,27,640.49,33,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.89,512999
1.63,13,252.32,48,0,0,0,1,0.01,0.0,0.01,Sure Thing,0.01,No Action,0.2,513964
2.83,23,391.52,40,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,516211
2.37,19,334.95,53,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,517061
2.82,23,308.75,39,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.02,518015
2.22,18,396.77,43,1,1,1,1,0.9,0.93,-0.03,Do Not Disturb,0.92,No Discount (Sure Thing),93.31,518480
2.53,20,699.41,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,518870
2.87,23,139.18,44,1,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.16,519747
4.93,40,173.79,56,0,1,1,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.63,519846
2.63,22,1121.76,47,1,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.75,521434
2.52,21,427.98,30,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.85,524861
3.22,26,389.39,41,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,528490
3.23,26,1043.69,66,0,0,1,1,0.92,0.79,0.12,Persuadable,0.88,No Discount (Sure Thing),79.45,528842
2.0,16,602.15,46,1,0,0,0,0.8,0.76,0.04,Sure Thing,0.76,No Discount (Sure Thing),76.38,533542
2.98,24,361.49,58,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.02,537688
2.72,22,129.12,58,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.08,538274
2.78,22,695.16,39,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,538529
2.25,18,424.32,39,0,0,1,0,0.88,0.94,-0.05,Do Not Disturb,0.93,No Discount (Sure Thing),93.54,539320
2.62,21,269.19,41,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.99,541505
4.37,35,492.56,37,0,1,1,1,0.93,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.61,544926
8.02,65,649.9,48,1,1,1,0,0.95,0.94,0.01,Sure Thing,0.94,No Discount (Sure Thing),94.05,549631
2.87,23,96.76,35,0,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.21,549797
2.12,17,486.16,53,1,1,1,0,0.88,0.88,-0.0,Sure Thing,0.9,No Discount (Sure Thing),88.29,554026
9.2,75,101.37,42,0,0,1,0,0.92,0.94,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.03,556824
2.13,17,644.05,43,0,0,1,0,0.9,0.9,0.0,Sure Thing,0.91,No Discount (Sure Thing),89.95,559981
3.3,26,261.26,37,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,560511
7.48,60,372.16,19,0,0,1,0,0.93,0.93,0.0,Sure Thing,0.94,No Discount (Sure Thing),92.7,561687
2.42,19,202.89,48,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,563544
1.42,11,198.32,40,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,0.07,563787
2.65,21,652.2,32,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.85,565251
5.13,41,580.68,40,1,1,1,0,0.93,0.94,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.2,569572
2.17,18,99.94,50,1,1,1,0,0.88,0.93,-0.05,Do Not Disturb,0.91,No Discount (Sure Thing),93.19,576103
2.35,19,380.13,44,1,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.96,576541
3.05,25,701.01,42,0,1,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.87,577287
2.42,19,663.11,48,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,581269
4.67,38,376.75,42,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.64,581721
3.52,28,348.87,52,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.87,581901
12.52,101,688.09,54,1,1,1,0,0.96,0.94,0.02,Sure Thing,0.94,No Discount (Sure Thing),93.82,584843
2.48,20,212.25,41,0,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.11,586124
3.87,31,286.05,52,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.91,587810
2.58,21,115.33,40,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,624198
15.0,122,113.72,49,0,0,1,0,0.97,0.94,0.03,Sure Thing,0.95,No Discount (Sure Thing),93.88,632136
3.3,27,121.98,54,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.04,632461
9.4,77,625.9,26,1,1,1,0,0.94,0.94,0.0,Sure Thing,0.94,No Discount (Sure Thing),93.85,632749
3.17,25,159.77,43,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.17,632965
3.37,28,233.4,47,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.03,632988
2.3,19,605.37,40,1,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.86,357737
4.4,35,147.12,28,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.65,448025
13.52,109,935.93,30,0,0,1,0,0.96,0.94,0.03,Sure Thing,0.94,No Discount (Sure Thing),93.58,467892
2.72,22,416.35,42,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.0,499375
2.1,17,127.26,46,0,1,1,0,0.86,0.9,-0.04,Do Not Disturb,0.89,No Discount (Sure Thing),90.12,511331
2.38,19,1052.13,41,1,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),94.75,511489
1.25,10,478.26,17,0,1,0,0,0.07,0.0,0.07,Persuadable,0.01,Give Discount,-12.75,511552
1.25,10,227.76,32,0,1,0,0,0.04,0.0,0.04,Sure Thing,0.01,No Action,0.11,512922
5.78,47,321.28,37,1,1,1,0,0.92,0.94,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.34,514623
2.8,23,383.29,42,1,0,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,516647
2.22,18,342.55,52,1,1,1,0,0.88,0.93,-0.05,Do Not Disturb,0.92,No Discount (Sure Thing),93.28,517158
2.48,20,287.36,44,1,0,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,518535
3.7,29,711.41,37,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,520480
2.58,21,782.06,39,0,0,1,1,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.97,520770
2.37,19,642.68,33,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.94,522441
2.23,18,40.88,47,1,0,1,0,0.88,0.94,-0.05,Do Not Disturb,0.93,No Discount (Sure Thing),93.89,522476
2.87,23,980.07,34,1,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.74,522999
2.77,23,458.59,31,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,523228
2.2,18,968.77,39,1,1,1,1,0.84,0.93,-0.09,Do Not Disturb,0.9,No Discount (Sure Thing),92.69,523860
3.17,25,177.59,38,0,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.11,526297
2.33,19,365.39,38,1,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.98,528028
2.05,16,243.5,35,0,1,1,0,0.85,0.82,0.03,Sure Thing,0.84,No Discount (Sure Thing),81.78,530881
2.97,24,618.5,54,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.0,531447
2.08,17,851.05,40,1,0,1,0,0.79,0.9,-0.11,Do Not Disturb,0.89,No Discount (Sure Thing),90.02,535791
2.97,24,886.64,47,1,1,1,0,0.93,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.65,537289
2.82,22,304.59,41,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.99,539794
2.7,22,497.78,50,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.87,541540
5.62,46,198.96,50,1,1,1,1,0.93,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.38,545249
3.98,32,795.81,44,0,1,1,0,0.91,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.7,549292
2.23,18,179.65,38,0,0,1,0,0.88,0.94,-0.06,Do Not Disturb,0.93,No Discount (Sure Thing),93.6,550233
2.35,19,530.12,43,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.94,551804
2.27,18,162.86,30,0,0,1,0,0.88,0.94,-0.06,Do Not Disturb,0.93,No Discount (Sure Thing),93.93,553876
2.77,22,719.11,35,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,555151
7.52,61,376.54,33,0,0,1,0,0.9,0.94,-0.04,Do Not Disturb,0.94,No Discount (Sure Thing),94.21,556127
3.12,25,635.42,45,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.96,565464
2.2,18,747.5,54,0,1,1,0,0.82,0.93,-0.12,Do Not Disturb,0.92,No Discount (Sure Thing),93.38,566735
3.2,26,74.05,40,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.19,569466
2.48,20,285.3,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,572479
2.78,23,262.04,43,1,0,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,575554
4.9,40,184.42,49,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.66,584666
3.83,31,463.69,49,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,596220
2.25,18,336.64,47,1,0,1,0,0.89,0.93,-0.04,Do Not Disturb,0.92,No Discount (Sure Thing),93.4,598590
2.68,22,60.49,39,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.14,600886
2.47,20,545.62,33,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,605615
2.2,18,424.48,41,0,1,1,0,0.89,0.93,-0.04,Do Not Disturb,0.93,No Discount (Sure Thing),93.45,608287
2.35,19,476.85,51,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.87,621849
2.72,22,123.79,56,0,0,1,0,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),95.02,635249
2.78,22,234.31,46,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,635442
3.75,31,378.13,50,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.92,635587
3.33,27,264.05,46,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,636102
2.17,17,1253.01,50,0,0,1,0,0.88,0.91,-0.04,Do Not Disturb,0.9,No Discount (Sure Thing),91.43,636520
4.38,35,579.1,32,0,0,1,0,0.93,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.53,372970
2.12,17,659.39,47,1,0,1,0,0.9,0.89,0.01,Sure Thing,0.89,No Discount (Sure Thing),88.86,497225
2.1,17,213.3,32,0,0,1,0,0.87,0.89,-0.03,Do Not Disturb,0.91,No Discount (Sure Thing),89.41,504473
3.57,29,560.71,35,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.89,507431
3.92,32,428.29,46,1,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.86,510537
3.1,25,99.21,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,511122
2.37,19,15.94,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.27,511783
2.53,20,112.94,48,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.17,513387
2.48,20,23.87,31,0,0,1,1,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.18,514261
1.95,16,662.51,36,0,0,1,0,0.76,0.77,-0.01,Sure Thing,0.74,No Discount (Sure Thing),76.53,517150
6.83,55,318.75,22,0,0,1,0,0.92,0.93,-0.02,Sure Thing,0.95,No Discount (Sure Thing),93.29,518495
5.58,45,327.9,42,0,0,1,0,0.92,0.94,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.26,519848
3.4,27,300.43,35,0,0,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,521343
3.57,29,245.59,46,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.02,521768
2.82,23,191.78,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.11,523256
4.73,38,80.97,33,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.69,523290
2.32,19,308.8,44,1,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.96,525546
5.18,41,369.9,44,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.52,525996
4.13,33,13.42,49,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,528322
1.42,11,665.81,47,1,0,0,0,0.02,0.0,0.01,Sure Thing,0.0,No Action,0.36,529019
2.48,20,181.03,44,0,1,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.14,530322
5.12,42,113.47,41,1,0,1,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.65,530720
3.47,28,674.83,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.88,531807
2.1,17,753.33,48,1,0,1,0,0.85,0.9,-0.04,Do Not Disturb,0.89,No Discount (Sure Thing),89.58,532215
3.68,29,576.9,30,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.8,536000
2.52,20,355.53,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,539916
